,class,area,2012,2013,2014,2015,2016,2017,2018
0,종로구,청운동,626.0,462.0,,,914.0,766.0,1090.0
1,종로구,신교동,1628.0,,,,1824.0,,
2,종로구,궁정동,,,,,,,
3,종로구,효자동,,227.0,,914.0,,219.0,1500.0
4,종로구,창성동,,,1711.0,,1639.0,2009.0,2068.0
5,종로구,통의동,,,1427.0,1603.0,2359.0,1948.0,
6,종로구,적선동,1297.0,4179.0,1103.0,,,,
7,종로구,통인동,1052.0,1045.0,,1097.0,1084.0,2030.0,1577.0
8,종로구,누상동,735.0,,,907.0,,,
9,종로구,누하동,945.0,738.0,1055.0,680.0,1239.0,819.0,1222.0
10,종로구,옥인동,,,715.0,,1136.0,1099.0,1085.0
11,종로구,체부동,1295.0,,1269.0,1179.0,1528.0,,
12,종로구,필운동,,1075.0,1125.0,1151.0,1773.0,1503.0,1814.0
13,종로구,내자동,1421.0,1257.0,,944.0,1372.0,1059.0,850.0
14,종로구,사직동,,341.0,440.0,688.0,,571.0,
15,종로구,도렴동,,,,,,,
16,종로구,당주동,,2680.0,,,2677.0,1682.0,
17,종로구,내수동,2723.0,,,,,,
18,종로구,세종로,3874.0,,,2604.0,,,
19,종로구,신문로1가,,5216.0,,,3082.0,,3020.0
20,종로구,신문로2가,4075.0,948.0,1015.0,1444.0,1270.0,,1120.0
21,종로구,청진동,2061.0,8071.0,2640.0,2595.0,3598.0,4300.0,
22,종로구,서린동,,,,,,,
23,종로구,수송동,,,,1805.0,1500.0,,
24,종로구,중학동,7461.0,,,,,,10612.0
25,종로구,종로1가,,,,,,,
26,종로구,공평동,,,,,,,
27,종로구,관훈동,2739.0,1114.0,3427.0,4683.0,1209.0,,1864.0
28,종로구,견지동,1570.0,,,1229.0,3369.0,,
29,종로구,와룡동,,665.0,,2170.0,1471.0,,2263.0
30,종로구,권농동,,1004.0,829.0,1063.0,901.0,1913.0,
31,종로구,운니동,,1832.0,,1155.0,978.0,,
32,종로구,익선동,825.0,1183.0,,746.0,1169.0,1333.0,1725.0
33,종로구,경운동,,,1198.0,,864.0,,989.0
34,종로구,관철동,3504.0,2451.0,3194.0,3464.0,2523.0,4141.0,4096.0
35,종로구,인사동,2722.0,1934.0,1305.0,1070.0,1381.0,1727.0,2900.0
36,종로구,낙원동,2113.0,1296.0,1054.0,1183.0,1746.0,1823.0,1227.0
37,종로구,종로2가,,,3863.0,,8627.0,7378.0,15116.0
38,종로구,팔판동,1255.0,,1038.0,1882.0,1136.0,,
39,종로구,삼청동,744.0,2036.0,,1617.0,1306.0,1057.0,1615.0
40,종로구,안국동,,1986.0,1163.0,1543.0,,2101.0,
41,종로구,소격동,,,1867.0,1331.0,2196.0,2765.0,
42,종로구,화동,,855.0,1452.0,,,2116.0,
43,종로구,사간동,,,,,1619.0,2419.0,2609.0
44,종로구,송현동,216.0,280.0,232.0,436.0,413.0,281.0,420.0
45,종로구,가회동,813.0,1942.0,2290.0,2038.0,2295.0,1098.0,3290.0
46,종로구,재동,1963.0,,1505.0,871.0,,1941.0,1459.0
47,종로구,계동,357.0,,973.0,1853.0,1457.0,2324.0,
48,종로구,원서동,,1489.0,,,975.0,,
49,종로구,훈정동,,,,,,,
50,종로구,묘동,1512.0,2059.0,1671.0,1819.0,2551.0,,2852.0
51,종로구,봉익동,933.0,1880.0,1200.0,949.0,1045.0,1314.0,
52,종로구,돈의동,1114.0,771.0,1086.0,1297.0,960.0,1142.0,
53,종로구,장사동,,,2268.0,2430.0,1343.0,1474.0,2373.0
54,종로구,관수동,2569.0,2873.0,756.0,1863.0,1325.0,2100.0,3668.0
55,종로구,종로3가,,4472.0,3402.0,6060.0,,3139.0,6048.0
56,종로구,인의동,,,1276.0,4100.0,1298.0,,
57,종로구,예지동,1865.0,1443.0,1764.0,1988.0,1569.0,2951.0,1586.0
58,종로구,원남동,1898.0,574.0,632.0,1061.0,759.0,92.0,1050.0
59,종로구,연지동,2040.0,1635.0,763.0,1104.0,761.0,1080.0,2469.0
60,종로구,종로4가,3131.0,2601.0,4195.0,2248.0,,3163.0,3750.0
61,종로구,효제동,1290.0,914.0,1323.0,818.0,1187.0,953.0,1368.0
62,종로구,종로5가,1473.0,1656.0,1556.0,1751.0,2483.0,2722.0,1892.0
63,종로구,종로6가,1307.0,838.0,752.0,1497.0,1094.0,1368.0,1836.0
64,종로구,이화동,,500.0,,111.0,766.0,106.0,925.0
65,종로구,연건동,687.0,1481.0,1110.0,1057.0,,,1188.0
66,종로구,충신동,876.0,799.0,1024.0,1939.0,714.0,985.0,1200.0
67,종로구,동숭동,829.0,1515.0,556.0,1996.0,2357.0,2533.0,2022.0
68,종로구,혜화동,725.0,759.0,1575.0,800.0,1049.0,989.0,1170.0
69,종로구,명륜1가,676.0,665.0,787.0,,1091.0,945.0,
70,종로구,명륜2가,,1802.0,883.0,1139.0,1284.0,1543.0,3334.0
71,종로구,명륜4가,2053.0,1096.0,619.0,1335.0,994.0,1163.0,
72,종로구,명륜3가,366.0,625.0,626.0,692.0,671.0,579.0,597.0
73,종로구,창신동,539.0,899.0,688.0,778.0,862.0,1193.0,1197.0
74,종로구,숭인동,908.0,755.0,1046.0,1054.0,814.0,1453.0,1195.0
75,종로구,교남동,,604.0,,,1129.0,1849.0,1849.0
76,종로구,평동,150.0,128.0,142.0,127.0,153.0,146.0,227.0
77,종로구,송월동,,,,,,,
78,종로구,홍파동,,784.0,,,,,
79,종로구,교북동,,,,,,,
80,종로구,행촌동,,816.0,517.0,552.0,,530.0,824.0
81,종로구,구기동,503.0,387.0,811.0,536.0,,344.0,610.0
82,종로구,평창동,403.0,272.0,246.0,342.0,484.0,412.0,829.0
83,종로구,부암동,793.0,1037.0,1029.0,,609.0,890.0,
84,종로구,홍지동,,881.0,892.0,438.0,,,676.0
85,종로구,신영동,,,190.0,586.0,536.0,532.0,
86,종로구,무악동,,,,577.0,504.0,,
87,중구,무교동,,,,,,,
88,중구,다동,3524.0,3168.0,3436.0,3764.0,8038.0,3593.0,4265.0
89,중구,태평로1가,,,,,,,
90,중구,을지로1가,,,2117.0,,,,
91,중구,을지로2가,3330.0,4468.0,4543.0,,3704.0,7916.0,
92,중구,남대문로1가,,,,2731.0,,,
93,중구,삼각동,,,,,,,
94,중구,수하동,,,,11201.0,,,
95,중구,장교동,,,,,,,
96,중구,수표동,2703.0,,,,,10464.0,
97,중구,소공동,,,2517.0,5974.0,4521.0,,
98,중구,남창동,2000.0,2522.0,2454.0,2413.0,2450.0,3355.0,2719.0
99,중구,북창동,1986.0,1477.0,1156.0,1444.0,2123.0,1733.0,
100,중구,태평로2가,2936.0,2593.0,2542.0,,6596.0,6105.0,
101,중구,남대문로2가,,12608.0,,12631.0,,9056.0,
102,중구,남대문로3가,,2130.0,2749.0,3965.0,,,
103,중구,남대문로4가,1931.0,6410.0,,,,3135.0,
104,중구,남대문로5가,2971.0,2919.0,2144.0,2633.0,2237.0,2710.0,
105,중구,봉래동1가,2996.0,,,,,2160.0,
106,중구,봉래동2가,,,,,,,
107,중구,회현동1가,975.0,1196.0,977.0,1179.0,1025.0,977.0,606.0
108,중구,회현동2가,,,,,,1437.0,
109,중구,회현동3가,6395.0,,,,,,
110,중구,충무로1가,13611.0,10884.0,,8002.0,,25091.0,
111,중구,충무로2가,4807.0,,5204.0,3963.0,2419.0,2083.0,5521.0
112,중구,명동1가,6091.0,,,8863.0,5931.0,,
113,중구,명동2가,8099.0,7221.0,,4677.0,13633.0,12320.0,19529.0
114,중구,남산동1가,2755.0,,2140.0,,,,
115,중구,남산동2가,1417.0,662.0,,1726.0,,1256.0,
116,중구,남산동3가,1684.0,,2960.0,,,735.0,
117,중구,저동1가,1960.0,4950.0,,,,7589.0,
118,중구,충무로4가,925.0,1483.0,1381.0,1414.0,1498.0,1605.0,1846.0
119,중구,충무로5가,,2065.0,1749.0,,1179.0,1736.0,
120,중구,인현동2가,911.0,632.0,1572.0,1444.0,1983.0,1059.0,1481.0
121,중구,예관동,,,1331.0,,681.0,1413.0,1536.0
122,중구,묵정동,862.0,966.0,881.0,853.0,708.0,987.0,
123,중구,필동1가,850.0,1342.0,712.0,1663.0,2944.0,1452.0,1181.0
124,중구,필동2가,1047.0,994.0,1154.0,956.0,1002.0,1579.0,1299.0
125,중구,필동3가,840.0,,981.0,963.0,665.0,1418.0,1282.0
126,중구,남학동,,,,,,,
127,중구,주자동,907.0,,,,,,
128,중구,예장동,633.0,756.0,,,491.0,942.0,959.0
129,중구,장충동1가,969.0,1682.0,1110.0,972.0,1547.0,1594.0,
130,중구,장충동2가,3176.0,1141.0,1361.0,2437.0,3552.0,,1405.0
131,중구,광희동1가,1018.0,1780.0,1512.0,2276.0,2767.0,2127.0,2024.0
132,중구,광희동2가,1138.0,640.0,1721.0,3656.0,1653.0,544.0,7653.0
133,중구,쌍림동,1556.0,914.0,941.0,1035.0,1058.0,981.0,1502.0
134,중구,을지로6가,2369.0,,960.0,2281.0,2434.0,,
135,중구,을지로7가,,908.0,2333.0,,2042.0,,
136,중구,을지로4가,734.0,1399.0,1738.0,2026.0,1697.0,1546.0,
137,중구,을지로5가,1090.0,,2089.0,2026.0,1821.0,1801.0,987.0
138,중구,주교동,230.0,265.0,212.0,334.0,304.0,343.0,464.0
139,중구,방산동,151.0,145.0,147.0,190.0,154.0,184.0,182.0
140,중구,오장동,2486.0,1012.0,1156.0,1174.0,1259.0,1256.0,923.0
141,중구,을지로3가,1917.0,1615.0,1551.0,1145.0,2868.0,1458.0,1962.0
142,중구,입정동,,861.0,1131.0,1662.0,,1361.0,1906.0
143,중구,산림동,,,,114.0,1814.0,,1960.0
144,중구,충무로3가,2046.0,,1524.0,1908.0,1392.0,,
145,중구,초동,1268.0,1435.0,1671.0,233.0,1539.0,1761.0,
146,중구,인현동1가,1403.0,1587.0,676.0,1034.0,1566.0,1423.0,
147,중구,저동2가,1365.0,1533.0,2258.0,1612.0,2283.0,1927.0,2812.0
148,중구,신당동,814.0,866.0,917.0,897.0,929.0,958.0,1345.0
149,중구,흥인동,1098.0,799.0,,992.0,,1579.0,
150,중구,무학동,1097.0,,1081.0,1472.0,,,
151,중구,황학동,988.0,909.0,734.0,752.0,1081.0,1497.0,863.0
152,중구,서소문동,,,9843.0,3420.0,4599.0,2609.0,12509.0
153,중구,정동,,,501.0,,993.0,1222.0,2149.0
154,중구,순화동,3597.0,,,,4567.0,,
155,중구,의주로1가,,,,,,,
156,중구,충정로1가,,,,,2095.0,,
157,중구,중림동,431.0,748.0,3319.0,1084.0,1262.0,1505.0,
158,중구,의주로2가,,,,,,,
159,중구,만리동1가,,,,1180.0,756.0,,
160,중구,만리동2가,,,,,,,
161,용산구,후암동,959.0,1031.0,989.0,975.0,1512.0,1210.0,1389.0
162,용산구,용산동2가,756.0,994.0,694.0,828.0,1052.0,1036.0,1878.0
163,용산구,갈월동,,,1935.0,1194.0,2641.0,2188.0,1721.0
164,용산구,남영동,,1511.0,1131.0,2098.0,1622.0,1523.0,1582.0
165,용산구,용산동1가,,,,,,,
166,용산구,동자동,,1858.0,1317.0,1321.0,946.0,692.0,1127.0
167,용산구,서계동,,605.0,866.0,1061.0,1333.0,1070.0,
168,용산구,청파동1가,583.0,,,525.0,1342.0,530.0,1110.0
169,용산구,청파동2가,1511.0,911.0,,1137.0,930.0,1119.0,1394.0
170,용산구,청파동3가,598.0,1158.0,,1335.0,1170.0,885.0,1268.0
171,용산구,원효로1가,,613.0,939.0,1251.0,1196.0,1459.0,1360.0
172,용산구,원효로2가,2469.0,,853.0,1106.0,927.0,1181.0,1292.0
173,용산구,신창동,,,964.0,,480.0,,
174,용산구,산천동,,,,512.0,,1098.0,
175,용산구,청암동,,,,541.0,748.0,,511.0
176,용산구,원효로3가,,1090.0,910.0,961.0,766.0,966.0,
177,용산구,원효로4가,,751.0,,734.0,997.0,1650.0,
178,용산구,효창동,,,,597.0,763.0,1212.0,
179,용산구,도원동,1002.0,754.0,1221.0,,1036.0,1177.0,
180,용산구,용문동,,689.0,881.0,1526.0,1255.0,,1351.0
181,용산구,문배동,,,,1350.0,,,2120.0
182,용산구,신계동,,,601.0,606.0,998.0,1152.0,1428.0
183,용산구,한강로1가,3297.0,1047.0,1551.0,1712.0,1479.0,1920.0,1773.0
184,용산구,한강로2가,1575.0,1497.0,1451.0,2293.0,2283.0,2584.0,3345.0
185,용산구,용산동3가,,,,,1207.0,1539.0,
186,용산구,용산동5가,,,,,2183.0,,3329.0
187,용산구,한강로3가,1784.0,1798.0,1193.0,1578.0,1285.0,1890.0,2216.0
188,용산구,이촌동,,2365.0,,2089.0,1638.0,1321.0,877.0
189,용산구,이태원동,1345.0,1999.0,1510.0,1516.0,1502.0,1709.0,1853.0
190,용산구,한남동,2025.0,1858.0,1794.0,1486.0,1482.0,1942.0,1670.0
191,용산구,동빙고동,1052.0,973.0,,972.0,642.0,1189.0,2130.0
192,용산구,서빙고동,,,425.0,,903.0,1321.0,
193,용산구,주성동,,,,,,898.0,
194,용산구,용산동6가,,,,,,,
195,용산구,보광동,1120.0,1200.0,742.0,1125.0,1221.0,1291.0,2737.0
196,성동구,상왕십리동,,,,,1225.0,,
197,성동구,하왕십리동,799.0,946.0,973.0,993.0,739.0,1265.0,1288.0
198,성동구,홍익동,574.0,547.0,636.0,773.0,807.0,1023.0,1134.0
199,성동구,도선동,1233.0,1248.0,773.0,1640.0,1627.0,1415.0,
200,성동구,마장동,594.0,671.0,578.0,721.0,581.0,775.0,731.0
201,성동구,사근동,510.0,629.0,661.0,840.0,628.0,215.0,
202,성동구,행당동,435.0,688.0,970.0,974.0,1006.0,1357.0,1050.0
203,성동구,응봉동,,,,,,941.0,
204,성동구,금호동1가,,,,,728.0,1115.0,1113.0
205,성동구,금호동2가,623.0,,593.0,505.0,,1114.0,614.0
206,성동구,금호동3가,,479.0,863.0,531.0,834.0,1244.0,1097.0
207,성동구,금호동4가,794.0,452.0,642.0,994.0,710.0,1038.0,
208,성동구,옥수동,296.0,299.0,593.0,510.0,1031.0,893.0,
209,성동구,성수동1가,672.0,665.0,899.0,974.0,953.0,970.0,1142.0
210,성동구,성수동2가,734.0,695.0,666.0,829.0,855.0,990.0,1204.0
211,성동구,송정동,209.0,292.0,168.0,198.0,339.0,252.0,
212,성동구,용답동,,516.0,833.0,625.0,799.0,844.0,1044.0
213,광진구,중곡동,551.0,558.0,648.0,731.0,700.0,750.0,770.0
214,광진구,능동,952.0,849.0,,615.0,807.0,1661.0,1335.0
215,광진구,구의동,950.0,648.0,761.0,847.0,911.0,829.0,1049.0
216,광진구,광장동,341.0,588.0,760.0,742.0,881.0,787.0,947.0
217,광진구,자양동,639.0,634.0,745.0,792.0,880.0,1037.0,1238.0
218,광진구,화양동,1221.0,1010.0,1323.0,1025.0,1332.0,1315.0,1633.0
219,광진구,군자동,111.0,109.0,749.0,130.0,164.0,182.0,1039.0
220,동대문구,신설동,,1157.0,824.0,841.0,929.0,977.0,1441.0
221,동대문구,용두동,195.0,177.0,224.0,220.0,208.0,201.0,228.0
222,동대문구,제기동,657.0,573.0,549.0,681.0,606.0,671.0,758.0
223,동대문구,전농동,568.0,707.0,508.0,579.0,694.0,617.0,600.0
224,동대문구,답십리동,612.0,617.0,623.0,580.0,605.0,1082.0,761.0
225,동대문구,장안동,578.0,552.0,626.0,629.0,817.0,767.0,868.0
226,동대문구,청량리동,604.0,1653.0,844.0,665.0,745.0,700.0,691.0
227,동대문구,회기동,985.0,754.0,755.0,858.0,1018.0,950.0,654.0
228,동대문구,휘경동,879.0,941.0,1197.0,1184.0,830.0,822.0,850.0
229,동대문구,이문동,590.0,858.0,906.0,628.0,605.0,805.0,1000.0
230,중랑구,면목동,626.0,548.0,592.0,599.0,661.0,698.0,760.0
231,중랑구,상봉동,644.0,774.0,622.0,685.0,771.0,869.0,823.0
232,중랑구,중화동,511.0,556.0,425.0,571.0,658.0,687.0,613.0
233,중랑구,묵동,706.0,600.0,604.0,730.0,699.0,784.0,714.0
234,중랑구,망우동,387.0,457.0,425.0,568.0,637.0,669.0,528.0
235,중랑구,신내동,473.0,332.0,538.0,393.0,512.0,541.0,
236,성북구,성북동,750.0,902.0,819.0,783.0,780.0,886.0,576.0
237,성북구,성북동1가,,,,,,,
238,성북구,돈암동,636.0,829.0,,,,1114.0,
