동이름,2008~2009,2009~2010,2010~2011,2011~2012,2012~2013,2013~2014,2014~2015,2015~2016,2016~2017
신사동,-23.076,-0.754,21.662,2.984,-26.063,36.891,-0.237,-1.294,-1.495
신사동,-23.076,-0.754,21.662,2.984,-26.063,36.891,-0.237,-1.294,-32.005
신사동,-23.076,-0.754,21.662,2.984,-26.063,36.891,-0.237,-31.98,42.945
신사동,-23.076,-0.754,21.662,2.984,-26.063,36.891,-0.237,-31.98,-1.33
신사동,-23.076,-0.754,21.662,2.984,-26.063,36.891,-31.324,43.387,-1.495
신사동,-23.076,-0.754,21.662,2.984,-26.063,36.891,-31.324,43.387,-32.005
신사동,-23.076,-0.754,21.662,2.984,-26.063,36.891,-31.324,-1.19,42.945
신사동,-23.076,-0.754,21.662,2.984,-26.063,36.891,-31.324,-1.19,-1.33
신사동,-23.076,-0.754,21.662,2.984,-26.063,-3.235,41.132,-1.294,-1.495
신사동,-23.076,-0.754,21.662,2.984,-26.063,-3.235,41.132,-1.294,-32.005
신사동,-23.076,-0.754,21.662,2.984,-26.063,-3.235,41.132,-31.98,42.945
신사동,-23.076,-0.754,21.662,2.984,-26.063,-3.235,41.132,-31.98,-1.33
신사동,-23.076,-0.754,21.662,2.984,-26.063,-3.235,-2.846,43.387,-1.495
신사동,-23.076,-0.754,21.662,2.984,-26.063,-3.235,-2.846,43.387,-32.005
신사동,-23.076,-0.754,21.662,2.984,-26.063,-3.235,-2.846,-1.19,42.945
신사동,-23.076,-0.754,21.662,2.984,-26.063,-3.235,-2.846,-1.19,-1.33
신사동,-23.076,-0.754,21.662,-21.725,32.66,0.379,-0.237,-1.294,-1.495
신사동,-23.076,-0.754,21.662,-21.725,32.66,0.379,-0.237,-1.294,-32.005
신사동,-23.076,-0.754,21.662,-21.725,32.66,0.379,-0.237,-31.98,42.945
신사동,-23.076,-0.754,21.662,-21.725,32.66,0.379,-0.237,-31.98,-1.33
신사동,-23.076,-0.754,21.662,-21.725,32.66,0.379,-31.324,43.387,-1.495
신사동,-23.076,-0.754,21.662,-21.725,32.66,0.379,-31.324,43.387,-32.005
신사동,-23.076,-0.754,21.662,-21.725,32.66,0.379,-31.324,-1.19,42.945
신사동,-23.076,-0.754,21.662,-21.725,32.66,0.379,-31.324,-1.19,-1.33
신사동,-23.076,-0.754,21.662,-21.725,32.66,-29.044,41.132,-1.294,-1.495
신사동,-23.076,-0.754,21.662,-21.725,32.66,-29.044,41.132,-1.294,-32.005
신사동,-23.076,-0.754,21.662,-21.725,32.66,-29.044,41.132,-31.98,42.945
신사동,-23.076,-0.754,21.662,-21.725,32.66,-29.044,41.132,-31.98,-1.33
신사동,-23.076,-0.754,21.662,-21.725,32.66,-29.044,-2.846,43.387,-1.495
신사동,-23.076,-0.754,21.662,-21.725,32.66,-29.044,-2.846,43.387,-32.005
신사동,-23.076,-0.754,21.662,-21.725,32.66,-29.044,-2.846,-1.19,42.945
신사동,-23.076,-0.754,21.662,-21.725,32.66,-29.044,-2.846,-1.19,-1.33
신사동,-23.076,-0.754,21.662,-21.725,-2.723,36.891,-0.237,-1.294,-1.495
신사동,-23.076,-0.754,21.662,-21.725,-2.723,36.891,-0.237,-1.294,-32.005
신사동,-23.076,-0.754,21.662,-21.725,-2.723,36.891,-0.237,-31.98,42.945
신사동,-23.076,-0.754,21.662,-21.725,-2.723,36.891,-0.237,-31.98,-1.33
신사동,-23.076,-0.754,21.662,-21.725,-2.723,36.891,-31.324,43.387,-1.495
신사동,-23.076,-0.754,21.662,-21.725,-2.723,36.891,-31.324,43.387,-32.005
신사동,-23.076,-0.754,21.662,-21.725,-2.723,36.891,-31.324,-1.19,42.945
신사동,-23.076,-0.754,21.662,-21.725,-2.723,36.891,-31.324,-1.19,-1.33
신사동,-23.076,-0.754,21.662,-21.725,-2.723,-3.235,41.132,-1.294,-1.495
신사동,-23.076,-0.754,21.662,-21.725,-2.723,-3.235,41.132,-1.294,-32.005
신사동,-23.076,-0.754,21.662,-21.725,-2.723,-3.235,41.132,-31.98,42.945
신사동,-23.076,-0.754,21.662,-21.725,-2.723,-3.235,41.132,-31.98,-1.33
신사동,-23.076,-0.754,21.662,-21.725,-2.723,-3.235,-2.846,43.387,-1.495
신사동,-23.076,-0.754,21.662,-21.725,-2.723,-3.235,-2.846,43.387,-32.005
신사동,-23.076,-0.754,21.662,-21.725,-2.723,-3.235,-2.846,-1.19,42.945
신사동,-23.076,-0.754,21.662,-21.725,-2.723,-3.235,-2.846,-1.19,-1.33
신사동,-23.076,-0.754,-2.124,28.011,0.831,0.379,-0.237,-1.294,-1.495
신사동,-23.076,-0.754,-2.124,28.011,0.831,0.379,-0.237,-1.294,-32.005
신사동,-23.076,-0.754,-2.124,28.011,0.831,0.379,-0.237,-31.98,42.945
신사동,-23.076,-0.754,-2.124,28.011,0.831,0.379,-0.237,-31.98,-1.33
신사동,-23.076,-0.754,-2.124,28.011,0.831,0.379,-31.324,43.387,-1.495
신사동,-23.076,-0.754,-2.124,28.011,0.831,0.379,-31.324,43.387,-32.005
신사동,-23.076,-0.754,-2.124,28.011,0.831,0.379,-31.324,-1.19,42.945
신사동,-23.076,-0.754,-2.124,28.011,0.831,0.379,-31.324,-1.19,-1.33
신사동,-23.076,-0.754,-2.124,28.011,0.831,-29.044,41.132,-1.294,-1.495
신사동,-23.076,-0.754,-2.124,28.011,0.831,-29.044,41.132,-1.294,-32.005
신사동,-23.076,-0.754,-2.124,28.011,0.831,-29.044,41.132,-31.98,42.945
신사동,-23.076,-0.754,-2.124,28.011,0.831,-29.044,41.132,-31.98,-1.33
신사동,-23.076,-0.754,-2.124,28.011,0.831,-29.044,-2.846,43.387,-1.495
신사동,-23.076,-0.754,-2.124,28.011,0.831,-29.044,-2.846,43.387,-32.005
신사동,-23.076,-0.754,-2.124,28.011,0.831,-29.044,-2.846,-1.19,42.945
신사동,-23.076,-0.754,-2.124,28.011,0.831,-29.044,-2.846,-1.19,-1.33
신사동,-23.076,-0.754,-2.124,28.011,-26.063,36.891,-0.237,-1.294,-1.495
신사동,-23.076,-0.754,-2.124,28.011,-26.063,36.891,-0.237,-1.294,-32.005
신사동,-23.076,-0.754,-2.124,28.011,-26.063,36.891,-0.237,-31.98,42.945
신사동,-23.076,-0.754,-2.124,28.011,-26.063,36.891,-0.237,-31.98,-1.33
신사동,-23.076,-0.754,-2.124,28.011,-26.063,36.891,-31.324,43.387,-1.495
신사동,-23.076,-0.754,-2.124,28.011,-26.063,36.891,-31.324,43.387,-32.005
신사동,-23.076,-0.754,-2.124,28.011,-26.063,36.891,-31.324,-1.19,42.945
신사동,-23.076,-0.754,-2.124,28.011,-26.063,36.891,-31.324,-1.19,-1.33
신사동,-23.076,-0.754,-2.124,28.011,-26.063,-3.235,41.132,-1.294,-1.495
신사동,-23.076,-0.754,-2.124,28.011,-26.063,-3.235,41.132,-1.294,-32.005
신사동,-23.076,-0.754,-2.124,28.011,-26.063,-3.235,41.132,-31.98,42.945
신사동,-23.076,-0.754,-2.124,28.011,-26.063,-3.235,41.132,-31.98,-1.33
신사동,-23.076,-0.754,-2.124,28.011,-26.063,-3.235,-2.846,43.387,-1.495
신사동,-23.076,-0.754,-2.124,28.011,-26.063,-3.235,-2.846,43.387,-32.005
신사동,-23.076,-0.754,-2.124,28.011,-26.063,-3.235,-2.846,-1.19,42.945
신사동,-23.076,-0.754,-2.124,28.011,-26.063,-3.235,-2.846,-1.19,-1.33
신사동,-23.076,-0.754,-2.124,-2.702,32.66,0.379,-0.237,-1.294,-1.495
신사동,-23.076,-0.754,-2.124,-2.702,32.66,0.379,-0.237,-1.294,-32.005
신사동,-23.076,-0.754,-2.124,-2.702,32.66,0.379,-0.237,-31.98,42.945
신사동,-23.076,-0.754,-2.124,-2.702,32.66,0.379,-0.237,-31.98,-1.33
신사동,-23.076,-0.754,-2.124,-2.702,32.66,0.379,-31.324,43.387,-1.495
신사동,-23.076,-0.754,-2.124,-2.702,32.66,0.379,-31.324,43.387,-32.005
신사동,-23.076,-0.754,-2.124,-2.702,32.66,0.379,-31.324,-1.19,42.945
신사동,-23.076,-0.754,-2.124,-2.702,32.66,0.379,-31.324,-1.19,-1.33
신사동,-23.076,-0.754,-2.124,-2.702,32.66,-29.044,41.132,-1.294,-1.495
신사동,-23.076,-0.754,-2.124,-2.702,32.66,-29.044,41.132,-1.294,-32.005
신사동,-23.076,-0.754,-2.124,-2.702,32.66,-29.044,41.132,-31.98,42.945
신사동,-23.076,-0.754,-2.124,-2.702,32.66,-29.044,41.132,-31.98,-1.33
신사동,-23.076,-0.754,-2.124,-2.702,32.66,-29.044,-2.846,43.387,-1.495
신사동,-23.076,-0.754,-2.124,-2.702,32.66,-29.044,-2.846,43.387,-32.005
신사동,-23.076,-0.754,-2.124,-2.702,32.66,-29.044,-2.846,-1.19,42.945
신사동,-23.076,-0.754,-2.124,-2.702,32.66,-29.044,-2.846,-1.19,-1.33
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,36.891,-0.237,-1.294,-1.495
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,36.891,-0.237,-1.294,-32.005
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,36.891,-0.237,-31.98,42.945
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,36.891,-0.237,-31.98,-1.33
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,36.891,-31.324,43.387,-1.495
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,36.891,-31.324,43.387,-32.005
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,36.891,-31.324,-1.19,42.945
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,36.891,-31.324,-1.19,-1.33
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,-3.235,41.132,-1.294,-1.495
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,-3.235,41.132,-1.294,-32.005
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,-3.235,41.132,-31.98,42.945
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,-3.235,41.132,-31.98,-1.33
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,-3.235,-2.846,43.387,-1.495
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,-3.235,-2.846,43.387,-32.005
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,-3.235,-2.846,-1.19,42.945
신사동,-23.076,-0.754,-2.124,-2.702,-2.723,-3.235,-2.846,-1.19,-1.33
신림동,2.807,16.132,31.526,-15.789,-7.88,-4.226,0.419,2.272,0.604
난향동,-0.055,0.191,-1.463,-0.864,-1.257,-1.069,-1.304,-1.414,-0.835
조원동,0.719,-0.694,-4.826,4.295,2.37,0.574,0.792,-0.371,-2.258
대학동,0.75,-0.276,-0.431,3.1,-1.832,-0.283,0.832,2.701,0.742
은천동,-1.513,-3.459,-2.959,-0.592,-0.763,-0.258,-0.076,-1.602,-0.349
성현동,-0.908,0.235,-0.92,-0.327,-0.883,-1.075,-0.079,-0.814,-1.652
청룡동,-1.381,0.35,-1.169,-0.451,-0.006,-0.253,-10.119,-4.107,-0.423
난곡동,-2.122,-0.82,-1.906,-0.995,-0.685,-0.535,-0.162,-0.88,-1.457
삼성동,-2.054,-1.428,-2.415,-1.551,-2.154,-2.219,-0.922,-2.475,-2.334
미성동,-0.813,-0.518,-1.755,-0.109,-1.624,-0.712,0.472,-1.252,-0.247
서초1동,-3.117,2.068,0.9,0.082,-0.955,-0.734,-0.609,0.014,0.673
서초2동,0.954,2.115,-0.733,-0.155,0.357,-5.606,-4.718,-1.062,-21.06
서초3동,-0.502,1.958,-0.483,-1.068,-1.794,-0.039,-0.509,-1.207,1.049
서초4동,5.814,5.308,-1.816,-0.672,-3.585,-4.383,2.065,-0.127,7.809
잠원동,-0.819,0.618,-0.436,-3.979,-3.427,-1.105,-1.024,2.999,-0.271
반포본동,-4.698,0.132,-0.015,0.117,-1.295,-0.104,-1.158,-2.673,-1.042
반포1동,53.713,7.51,5.269,1.164,0.05,-0.964,-9.278,-1.355,-5.803
반포2동,58.078,4.688,2.801,-3.135,-8.361,-0.551,-0.704,18.158,4.321
반포3동,-0.195,0.812,-0.656,-0.354,-0.102,-1.142,-13.382,-7.94,-2.793
반포4동,1.451,1.133,-1.414,-0.89,-0.267,-0.757,0.092,-0.887,-0.574
방배본동,2.134,1.933,1.016,-0.605,0.0,0.049,-0.877,-0.889,-0.688
방배1동,-0.943,6.734,-1.161,0.573,0.702,-0.126,0.338,-1.916,0.529
방배2동,-0.998,-0.443,-2.05,-0.383,0.075,3.394,-1.582,-2.207,-1.853
방배3동,1.067,0.95,-1.285,-1.896,-1.308,-1.149,-3.527,-1.414,-6.115
방배4동,2.628,0.864,-2.197,-0.346,-0.542,0.549,1.02,0.193,-0.396
양재1동,-1.547,-0.993,1.159,17.716,38.421,7.393,0.754,-0.24,-0.982
양재2동,0.642,1.117,-1.806,-1.104,-1.929,4.548,-1.439,0.69,0.168
내곡동,-2.371,-0.846,-5.659,-3.205,2.666,111.477,46.559,1.297,-0.595
신사동,28.109,-0.617,-5.768,2.984,0.831,0.379,-0.237,-1.294,-1.495
신사동,28.109,-0.617,-5.768,2.984,0.831,0.379,-0.237,-1.294,-32.005
신사동,28.109,-0.617,-5.768,2.984,0.831,0.379,-0.237,-31.98,42.945
신사동,28.109,-0.617,-5.768,2.984,0.831,0.379,-0.237,-31.98,-1.33
신사동,28.109,-0.617,-5.768,2.984,0.831,0.379,-31.324,43.387,-1.495
신사동,28.109,-0.617,-5.768,2.984,0.831,0.379,-31.324,43.387,-32.005
신사동,28.109,-0.617,-5.768,2.984,0.831,0.379,-31.324,-1.19,42.945
신사동,28.109,-0.617,-5.768,2.984,0.831,0.379,-31.324,-1.19,-1.33
신사동,28.109,-0.617,-5.768,2.984,0.831,-29.044,41.132,-1.294,-1.495
신사동,28.109,-0.617,-5.768,2.984,0.831,-29.044,41.132,-1.294,-32.005
신사동,28.109,-0.617,-5.768,2.984,0.831,-29.044,41.132,-31.98,42.945
신사동,28.109,-0.617,-5.768,2.984,0.831,-29.044,41.132,-31.98,-1.33
신사동,28.109,-0.617,-5.768,2.984,0.831,-29.044,-2.846,43.387,-1.495
신사동,28.109,-0.617,-5.768,2.984,0.831,-29.044,-2.846,43.387,-32.005
신사동,28.109,-0.617,-5.768,2.984,0.831,-29.044,-2.846,-1.19,42.945
신사동,28.109,-0.617,-5.768,2.984,0.831,-29.044,-2.846,-1.19,-1.33
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-0.237,-1.294,-1.495
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-0.237,-1.294,-32.005
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-0.237,-31.98,42.945
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-0.237,-31.98,-1.33
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-31.324,43.387,-1.495
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-31.324,43.387,-32.005
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-31.324,-1.19,42.945
신사동,28.109,-0.617,-5.768,2.984,-26.063,36.891,-31.324,-1.19,-1.33
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,41.132,-1.294,-1.495
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,41.132,-1.294,-32.005
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,41.132,-31.98,42.945
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,41.132,-31.98,-1.33
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,-2.846,43.387,-1.495
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,-2.846,43.387,-32.005
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,-2.846,-1.19,42.945
신사동,28.109,-0.617,-5.768,2.984,-26.063,-3.235,-2.846,-1.19,-1.33
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-0.237,-1.294,-1.495
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-0.237,-1.294,-32.005
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-0.237,-31.98,42.945
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-0.237,-31.98,-1.33
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-31.324,43.387,-1.495
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-31.324,43.387,-32.005
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-31.324,-1.19,42.945
신사동,28.109,-0.617,-5.768,-21.725,32.66,0.379,-31.324,-1.19,-1.33
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,41.132,-1.294,-1.495
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,41.132,-1.294,-32.005
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,41.132,-31.98,42.945
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,41.132,-31.98,-1.33
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,-2.846,43.387,-1.495
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,-2.846,43.387,-32.005
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,-2.846,-1.19,42.945
신사동,28.109,-0.617,-5.768,-21.725,32.66,-29.044,-2.846,-1.19,-1.33
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-0.237,-1.294,-1.495
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-0.237,-1.294,-32.005
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-0.237,-31.98,42.945
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-0.237,-31.98,-1.33
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-31.324,43.387,-1.495
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-31.324,43.387,-32.005
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-31.324,-1.19,42.945
신사동,28.109,-0.617,-5.768,-21.725,-2.723,36.891,-31.324,-1.19,-1.33
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,41.132,-1.294,-1.495
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,41.132,-1.294,-32.005
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,41.132,-31.98,42.945
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,41.132,-31.98,-1.33
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,-2.846,43.387,-1.495
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,-2.846,43.387,-32.005
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,-2.846,-1.19,42.945
신사동,28.109,-0.617,-5.768,-21.725,-2.723,-3.235,-2.846,-1.19,-1.33
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-0.237,-1.294,-1.495
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-0.237,-1.294,-32.005
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-0.237,-31.98,42.945
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-0.237,-31.98,-1.33
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-31.324,43.387,-1.495
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-31.324,43.387,-32.005
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-31.324,-1.19,42.945
신사동,28.109,-0.617,-24.192,28.011,0.831,0.379,-31.324,-1.19,-1.33
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,41.132,-1.294,-1.495
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,41.132,-1.294,-32.005
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,41.132,-31.98,42.945
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,41.132,-31.98,-1.33
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,-2.846,43.387,-1.495
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,-2.846,43.387,-32.005
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,-2.846,-1.19,42.945
신사동,28.109,-0.617,-24.192,28.011,0.831,-29.044,-2.846,-1.19,-1.33
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-0.237,-1.294,-1.495
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-0.237,-1.294,-32.005
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-0.237,-31.98,42.945
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-0.237,-31.98,-1.33
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-31.324,43.387,-1.495
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-31.324,43.387,-32.005
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-31.324,-1.19,42.945
신사동,28.109,-0.617,-24.192,28.011,-26.063,36.891,-31.324,-1.19,-1.33
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,41.132,-1.294,-1.495
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,41.132,-1.294,-32.005
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,41.132,-31.98,42.945
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,41.132,-31.98,-1.33
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,-2.846,43.387,-1.495
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,-2.846,43.387,-32.005
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,-2.846,-1.19,42.945
신사동,28.109,-0.617,-24.192,28.011,-26.063,-3.235,-2.846,-1.19,-1.33
신사동,28.109,-0.617,-24.192,-2.702,32.66,0.379,-0.237,-1.294,-1.495
신사동,28.109,-0.617,-24.192,-2.702,32.66,0.379,-0.237,-1.294,-32.005
