2007~2008,2008~2009,2009~2010,2010~2011,2011~2012,2012~2013,2013~2014,2014~2015,2015~2016,2016~2017,2017~2018
구산동 (550.0),낙원동 (500.0),등촌동 (300.0),영등포동6가 (2100.0),당산동2가 (2000.0),구기동 (400.0),양평동4가 (800.0),봉천동 (333.333),화곡동 (500.0),명일동 (291.667),신영동 (100.0)
안국동 (250.0),관철동 (317.647),당산동2가 (225.0),수유동 (300.0),논현동 (250.0),낙원동 (233.333),개화동 (500.0),율현동 (216.667),과해동 (300.0),익선동 (205.882),면목동 (71.429)
미아동 (200.0),삼청동 (300.0),양평동6가 (200.0),마곡동 (250.0),남현동 (133.333),영등포동5가 (180.0),묘동 (400.0),낙원동 (133.333),가양동 (300.0),염창동 (200.0),평동 (58.333)
봉천동 (200.0),화곡동 (225.0),원서동 (150.0),구기동 (200.0),봉천동 (133.333),삼성동 (166.667),양화동 (266.667),묘동 (120.0),수서동 (300.0),양평동4가 (200.0),성내동 (39.535)
외발산동 (200.0),장지동 (200.0),외발산동 (150.0),과해동 (200.0),공평동 (125.0),외발산동 (100.0),수유동 (200.0),마곡동 (113.333),구산동 (290.476),논현동 (141.667),둔촌동 (28.571)
오금동 (165.625),신내동 (150.0),망우동 (140.0),당산동4가 (166.667),면목동 (125.0),수유동 (100.0),방화동 (175.0),와룡동 (110.0),종로5가 (223.077),장지동 (140.0),봉천동 (26.667)
원서동 (142.857),문래동5가 (133.333),익선동 (120.0),문래동5가 (157.143),둔촌동 (122.222),견지동 (81.818),역촌동 (171.667),면목동 (100.0),양화동 (222.222),일원동 (118.182),삼청동 (21.053)
문정동 (133.333),삼성동 (100.0),혜화동 (116.667),낙원동 (150.0),신영동 (100.0),문정동 (77.778),도선동 (166.667),미아동 (100.0),당산동4가 (212.5),미아동 (100.0),세곡동 (15.476)
양평동2가 (86.486),견지동 (80.0),봉익동 (108.333),권농동 (139.474),양평동4가 (100.0),신영동 (75.0),망우동 (166.667),견지동 (100.0),망우동 (180.0),개화동 (100.0),수유동 (14.286)
번동 (81.132),길동 (77.778),가양동 (100.0),방화동 (133.333),원서동 (100.0),천호동 (72.727),수서동 (150.0),영등포동6가 (100.0),삼청동 (175.0),신사동 (93.603),종로5가 (10.714)
익선동 (75.0),풍납동 (76.471),종로3가 (100.0),염창동 (125.0),묘동 (100.0),번동 (70.0),등촌동 (150.0),염창동 (100.0),내수동 (157.143),묘동 (88.889),오금동 (6.438)
평창동 (72.222),문래동3가 (76.471),수서동 (100.0),통의동 (120.0),석촌동 (100.0),문래동4가 (69.565),명륜2가 (145.455),영등포동5가 (86.364),봉익동 (138.095),역촌동 (84.615),신정동 (6.383)
숭인동 (62.5),남현동 (75.0),수유동 (100.0),견지동 (120.0),암사동 (100.0),청담동 (62.963),통의동 (142.857),신정동 (77.273),수유동 (125.0),남현동 (83.333),상봉동 (6.25)
재동 (58.824),필운동 (71.831),선유동 (100.0),당산동 (100.0),신림동 (100.0),삼청동 (60.0),송파동 (140.909),목동 (77.083),구기동 (125.0),영등포동6가 (81.818),불광동 (0.699)
영등포동5가 (57.143),망우동 (66.667),미아동 (100.0),장지동 (100.0),안국동 (83.333),서린동 (55.556),일원동 (133.333),장지동 (75.0),명륜2가 (122.857),마곡동 (79.31),영등포동 (0.0)
풍납동 (54.545),신림동 (66.667),숭인동 (81.818),가양동 (100.0),명일동 (81.818),누하동 (54.545),명일동 (130.769),일원동 (71.429),신사동 (115.217),신월동 (76.087),미아동 (0.0)
공평동 (50.0),역촌동 (65.789),운니동 (80.0),영등포동5가 (83.333),와룡동 (77.778),역촌동 (50.0),당산동2가 (116.667),신영동 (71.429),내발산동 (95.455),와룡동 (75.0),외발산동 (0.0)
도곡동 (50.0),인사동 (64.0),신사동 (74.684),영등포동1가 (80.488),신내동 (75.0),명륜1가 (50.0),녹번동 (105.714),구산동 (61.538),nan (82.353),수서동 (75.0),삼성동 (0.0)
마천동 (49.18),논현동 (60.0),명륜1가 (66.667),내발산동 (75.0),관철동 (68.0),익선동 (50.0),당산동 (100.0),창성동 (57.143),소격동 (78.788),삼청동 (72.727),청진동 (-0.338)
대림동 (46.667),도선동 (60.0),개화동 (66.667),천호동 (75.0),당산동4가 (62.5),망우동 (50.0),장지동 (100.0),종로6가 (56.349),방화동 (76.923),율현동 (70.0),갈현동 (-3.448)
창성동 (45.455),영등포동 (58.333),통의동 (66.667),문래동4가 (62.745),종로3가 (61.905),과해동 (50.0),세곡동 (97.436),문래동1가 (51.852),삼전동 (76.042),효제동 (63.636),중학동 (-4.878)
당산동 (42.857),잠실동 (57.5),효제동 (65.385),화곡동 (60.0),nan (55.556),교남동 (43.75),옥인동 (92.453),신내동 (50.0),외발산동 (75.0),서린동 (63.636),원남동 (-4.933)
장사동 (39.241),누하동 (50.0),상봉동 (63.889),묵동 (53.968),방이동 (50.0),창성동 (42.105),내수동 (85.714),문래동5가 (46.667),거여동 (70.588),연지동 (63.333),소격동 (-5.839)
명일동 (36.364),신영동 (50.0),신월동 (63.415),우이동 (52.778),양화동 (50.0),당주동 (40.0),남현동 (85.714),내발산동 (46.667),익선동 (70.0),우이동 (62.5),원서동 (-8.333)
신문로1가 (34.951),개화동 (50.0),성내동 (57.143),번동 (50.667),가양동 (50.0),암사동 (39.286),구산동 (85.714),혜화동 (46.154),번동 (69.173),가회동 (62.5),숭인동 (-8.537)
당산동1가 (27.778),혜화동 (50.0),홍지동 (51.515),봉천동 (50.0),수서동 (50.0),신길동 (39.13),논현동 (83.333),공항동 (45.205),동숭동 (67.442),영등포동4가 (59.259),종로2가 (-9.0)
논현동 (25.0),영등포동1가 (48.387),면목동 (50.0),종로5가 (50.0),대조동 (46.061),여의도동 (38.028),재동 (81.818),재동 (45.0),양평동6가 (66.667),고덕동 (59.091),영등포동6가 (-10.0)
우이동 (23.684),역삼동 (44.681),삼성동 (50.0),서린동 (50.0),효제동 (44.444),신정동 (36.842),풍납동 (80.702),천호동 (42.857),송파동 (63.636),당산동3가 (55.357),청담동 (-10.0)
압구정동 (23.404),대치동 (43.636),양평동2가 (45.455),고덕동 (46.667),마천동 (41.176),안국동 (36.364),소격동 (78.723),nan (41.667),풍납동 (63.478),양평동3가 (54.286),화동 (-11.165)
역촌동 (22.581),청담동 (40.741),갈현동 (43.269),영등포동4가 (45.652),양평동5가 (39.31),신천동 (35.507),강일동 (77.778),신문로1가 (41.053),봉천동 (61.538),혜화동 (54.167),수색동 (-11.348)
마곡동 (22.222),묘동 (40.0),송파동 (40.0),율현동 (45.455),길동 (38.462),신사동 (34.524),둔촌동 (75.0),문래동2가 (39.815),원남동 (57.962),안국동 (53.333),nan (-11.765)
신월동 (21.951),적선동 (40.0),교북동 (35.938),내수동 (44.444),가회동 (36.364),거여동 (33.333),외발산동 (75.0),홍지동 (38.776),누하동 (57.895),창성동 (52.273),천호동 (-12.0)
효제동 (21.739),문래동2가 (37.5),당산동1가 (35.714),풍납동 (38.462),풍납동 (36.111),중학동 (33.333),인의동 (70.312),대조동 (36.441),당산동 (55.556),관훈동 (50.0),공항동 (-12.409)
관훈동 (21.429),영등포동4가 (36.667),내발산동 (33.333),거여동 (36.364),문래동1가 (34.375),연건동 (32.558),권농동 (69.388),구기동 (33.333),둔촌동 (54.545),풍납동 (45.745),낙원동 (-12.5)
체부동 (20.952),원남동 (34.653),당산동6가 (33.333),여의도동 (36.066),송파동 (33.333),종로6가 (32.353),동숭동 (67.857),연지동 (31.818),마천동 (54.4),도선동 (43.478),번동 (-12.766)
중화동 (20.0),영등포동7가 (34.483),종로5가 (33.333),당산동1가 (34.211),과해동 (33.333),영등포동1가 (32.203),영등포동3가 (66.667),문래동4가 (31.343),문래동3가 (52.941),영등포동2가 (42.857),응암동 (-12.903)
영등포동6가 (20.0),당산동2가 (33.333),평동 (33.333),일원동 (33.333),도렴동 (33.333),우이동 (30.612),가회동 (62.5),길동 (31.25),잠실동 (52.0),공항동 (42.708),견지동 (-13.333)
석촌동 (20.0),선유동 (33.333),당주동 (33.333),강일동 (33.333),양평동6가 (31.25),도렴동 (30.0),영등포동4가 (61.017),당산동2가 (30.769),오금동 (51.282),갈현동 (42.623),가락동 (-13.402)
상봉동 (19.355),개포동 (33.333),신문로2가 (32.447),면목동 (33.333),도선동 (30.769),강일동 (28.571),도곡동 (60.87),통의동 (29.412),선유동 (50.0),옥인동 (42.5),장사동 (-15.517)
영등포동8가 (18.478),양평동5가 (32.653),수색동 (30.986),압구정동 (32.759),장사동 (29.885),문래동1가 (27.907),중학동 (60.714),체부동 (29.365),신내동 (50.0),영등포동1가 (42.391),평창동 (-15.584)
종로1가 (18.239),녹번동 (30.357),암사동 (30.0),영등포동7가 (32.258),경운동 (29.73),신문로1가 (26.829),역삼동 (60.0),당산동3가 (27.928),남현동 (50.0),목동 (41.026),홍파동 (-15.854)
명륜1가 (18.182),양평동3가 (29.63),영등포동8가 (30.0),동숭동 (32.0),당주동 (25.0),갈현동 (26.786),평창동 (60.0),문정동 (27.273),장사동 (46.951),공평동 (40.0),혜화동 (-16.216)
세곡동 (17.857),신천동 (29.592),세곡동 (29.73),삼전동 (31.818),삼청동 (25.0),불광동 (25.714),안국동 (60.0),당주동 (27.273),수송동 (46.526),구산동 (39.024),서린동 (-16.667)
청담동 (17.391),둔촌동 (28.571),중화동 (28.814),당산동5가 (31.818),당산동6가 (24.49),영등포동8가 (25.581),상봉동 (57.576),당산동1가 (26.506),평창동 (46.296),적선동 (39.0),종로1가 (-16.667)
신문로2가 (16.993),돈의동 (28.328),응암동 (28.302),청담동 (30.0),종로2가 (22.917),미아동 (25.0),연지동 (57.143),영등포동1가 (25.287),양평동1가 (45.946),개포동 (36.842),문래동1가 (-16.854)
운니동 (16.667),마곡동 (27.273),문래동6가 (28.105),와룡동 (28.571),당산동3가 (21.875),염창동 (25.0),중화동 (56.522),세곡동 (24.675),효제동 (44.737),명륜1가 (35.714),압구정동 (-17.284)
당산동6가 (16.0),압구정동 (25.862),양평동1가 (27.972),평창동 (28.571),가락동 (21.818),장사동 (24.779),누하동 (52.941),교북동 (23.596),영등포동 (41.935),석촌동 (35.088),창신동 (-17.508)
화동 (14.815),부암동 (25.0),가락동 (26.471),nan (28.571),문래동3가 (21.739),성내동 (23.333),무악동 (52.015),대림동 (23.077),청담동 (41.667),당산동2가 (34.783),상일동 (-17.573)
당산동3가 (14.085),송파동 (25.0),관수동 (25.581),가락동 (27.907),신길동 (21.053),신문로2가 (22.973),청진동 (51.497),신림동 (23.077),원서동 (40.0),신정동 (34.286),도선동 (-18.182)
문래동3가 (13.333),와룡동 (25.0),마천동 (25.556),오금동 (24.444),신천동 (21.053),대치동 (22.973),내발산동 (50.0),돈의동 (22.222),관철동 (39.286),강일동 (33.333),신문로1가 (-18.254)
영등포동3가 (12.5),염창동 (25.0),개포동 (25.0),계동 (23.377),구산동 (20.0),공평동 (22.222),삼청동 (50.0),부암동 (20.93),우이동 (37.931),가락동 (32.877),여의도동 (-18.719)
방이동 (12.121),진관동 (24.627),연건동 (24.0),종로1가 (23.353),인사동 (18.919),문래동3가 (21.429),오금동 (50.0),숭인동 (20.0),암사동 (37.037),필운동 (32.83),양화동 (-18.75)
수색동 (11.111),수송동 (24.503),인의동 (23.438),원남동 (22.727),수송동 (18.817),관철동 (21.429),우이동 (48.438),영등포동2가 (20.0),종로3가 (36.957),진관동 (30.57),문래동3가 (-18.868)
홍파동 (11.111),신사동 (23.438),거여동 (22.222),홍파동 (21.429),관훈동 (18.75),영등포동 (20.0),당산동1가 (48.214),명륜1가 (20.0),상일동 (36.913),누하동 (30.0),경운동 (-19.444)
신사동 (10.345),불광동 (22.951),종로6가 (21.429),대림동 (20.833),도림동 (18.466),영등포동3가 (20.0),신길동 (46.875),응암동 (19.355),여의도동 (35.659),당산동 (28.571),종로4가 (-19.492)
연지동 (10.0),중화동 (22.917),목동 (21.277),화동 (20.202),개포동 (18.182),명륜3가 (19.0),경운동 (46.429),영등포동 (19.231),연건동 (35.484),명륜3가 (27.826),염창동 (-20.0)
소격동 (9.859),종로6가 (22.33),당산동3가 (20.0),안국동 (20.0),양평동3가 (17.647),계동 (16.97),익선동 (44.444),적선동 (18.987),상봉동 (35.417),중화동 (27.536),인의동 (-20.0)
녹번동 (9.804),당산동1가 (21.739),홍파동 (19.149),개화동 (20.0),숭인동 (17.5),경운동 (16.667),영등포동 (44.444),영등포동7가 (18.182),당산동2가 (35.294),문래동1가 (27.143),과해동 (-20.0)
종로4가 (9.42),종로3가 (21.429),장사동 (18.605),무악동 (19.92),영등포동2가 (16.667),구산동 (16.667),인사동 (44.186),방화동 (18.182),양평동2가 (35.065),홍지동 (26.562),묵동 (-20.652)
청운동 (8.772),당산동 (20.0),중학동 (17.949),재동 (18.182),부암동 (15.909),증산동 (16.667),마천동 (44.086),방이동 (18.033),권농동 (33.735),돈의동 (25.536),체부동 (-21.081)
문래동1가 (8.696),가락동 (17.241),상일동 (17.91),문정동 (18.182),재동 (15.385),풍납동 (16.327),공항동 (43.137),소격동 (17.857),영등포동7가 (30.769),대조동 (24.932),마곡동 (-21.154)
경운동 (8.333),방화동 (16.667),명륜2가 (17.857),상일동 (16.456),성내동 (15.385),화동 (14.851),교남동 (41.304),화동 (17.808),영등포동3가 (30.0),종로1가 (24.481),도림동 (-21.697)
율현동 (8.333),소격동 (16.667),여의도동 (17.308),역촌동 (15.686),신월동 (15.094),영등포동2가 (14.286),명륜3가 (41.176),수송동 (17.376),교남동 (29.897),대림동 (24.39),신문로2가 (-22.076)
가락동 (7.407),대조동 (16.031),증산동 (17.073),혜화동 (15.385),창신동 (11.905),신내동 (14.286),잠실동 (40.0),갈현동 (16.667),수색동 (29.787),신내동 (22.222),계동 (-22.137)
신길동 (7.143),상일동 (15.517),경운동 (16.667),녹번동 (14.286),문래동5가 (11.111),nan (14.286),종로3가 (40.0),관수동 (15.541),당산동5가 (29.213),망우동 (21.429),당산동 (-22.222)
응암동 (6.818),인의동 (14.286),도림동 (16.013),종로4가 (12.676),체부동 (10.909),문래동6가 (13.021),선유동 (40.0),여의도동 (15.179),대림동 (28.125),내발산동 (20.93),영등포동8가 (-22.353)
도렴동 (4.545),관수동 (13.158),종로2가 (15.686),둔촌동 (12.5),녹번동 (10.714),당산동3가 (12.821),불광동 (39.773),운니동 (15.0),문래동2가 (26.49),신천동 (20.4),풍납동 (-22.628)
중학동 (4.0),응암동 (12.766),오금동 (15.385),선유동 (12.5),필운동 (9.655),홍지동 (12.5),압구정동 (39.437),선유동 (14.286),혜화동 (26.316),체부동 (20.13),종로6가 (-22.749)
홍지동 (2.564),명륜4가 (12.563),청진동 (14.557),삼성동 (11.111),신문로2가 (8.425),상일동 (12.245),신문로2가 (39.286),명륜3가 (14.286),양평동5가 (25.926),잠실동 (19.737),문래동2가 (-22.967)
갈현동 (2.128),일원동 (12.5),대림동 (14.286),대치동 (10.256),당산동 (8.333),양평동5가 (11.386),당산동6가 (39.13),녹번동 (13.889),영등포동4가 (25.0),삼전동 (19.527),신천동 (-23.588)
원남동 (1.0),거여동 (12.5),옥인동 (13.953),옥인동 (10.204),잠실동 (8.197),오금동 (11.34),성내동 (37.838),영등포동4가 (13.684),대치동 (24.731),운니동 (18.644),관훈동 (-23.81)
목동 (0.0),당산동5가 (12.281),삼전동 (13.793),불광동 (10.0),인의동 (7.895),양평동1가 (11.111),삼성동 (37.5),석촌동 (13.462),필운동 (23.832),송파동 (18.519),필운동 (-24.432)
강일동 (0.0),세곡동 (12.121),명륜4가 (13.393),연지동 (10.0),문래동2가 (7.692),당산동5가 (11.111),관철동 (37.255),당산동 (12.5),길동 (23.81),관수동 (18.478),목동 (-24.545)
고덕동 (0.0),명륜2가 (12.0),영등포동4가 (12.195),명일동 (10.0),교북동 (7.229),종로1가 (11.039),수색동 (35.802),평창동 (12.5),가회동 (23.077),불광동 (18.182),인사동 (-24.561)
당산동5가 (0.0),명륜3가 (11.765),문래동2가 (11.688),방이동 (9.677),상일동 (6.522),압구정동 (10.938),거여동 (35.0),풍납동 (11.65),당주동 (21.429),청담동 (17.647),진관동 (-24.603)
여의도동 (0.0),삼전동 (11.538),청운동 (11.111),신문로2가 (9.639),도곡동 (6.25),청운동 (10.791),진관동 (33.333),관훈동 (11.538),도림동 (21.289),상일동 (17.157),홍지동 (-24.691)
내발산동 (0.0),문래동6가 (10.072),영등포동 (10.526),필운동 (9.023),동숭동 (6.061),종로5가 (9.524),당산동5가 (32.857),홍파동 (11.268),중학동 (21.212),당산동1가 (16.935),도곡동 (-25.0)
남현동 (0.0),봉익동 (9.091),잠실동 (9.524),적선동 (8.451),봉익동 (5.263),응암동 (8.475),영등포동7가 (32.0),공평동 (11.111),교북동 (20.909),도곡동 (16.923),동숭동 (-25.373)
종로5가 (0.0),종로5가 (9.091),평창동 (9.375),증산동 (8.333),마곡동 (4.762),방이동 (7.843),신사동 (31.858),청진동 (11.067),청운동 (20.388),화곡동 (16.667),연건동 (-25.683)
명륜3가 (0.0),청운동 (8.871),필운동 (9.016),암사동 (7.692),당산동1가 (3.922),효제동 (7.692),창신동 (31.22),진관동 (10.976),당산동6가 (20.29),선유동 (16.667),당산동2가 (-25.806)
구기동 (0.0),동숭동 (8.696),교남동 (8.955),문래동1가 (6.667),역삼동 (2.941),숭인동 (6.383),청운동 (31.169),신천동 (10.881),명륜3가 (19.792),내수동 (16.667),문정동 (-26.415)
진관동 (0.0),가회동 (8.333),부암동 (8.889),양평동6가 (6.667),종로4가 (2.5),필운동 (5.66),신월동 (30.508),도림동 (10.823),응암동 (18.919),봉익동 (16.0),당산동5가 (-26.667)
통의동 (0.0),갈현동 (8.333),신천동 (8.661),문래동2가 (5.814),세곡동 (2.083),당산동1가 (5.66),삼전동 (30.38),봉익동 (10.526),개포동 (18.75),여의도동 (16.0),신길동 (-26.667)
서린동 (0.0),여의도동 (8.333),수송동 (8.511),명륜4가 (5.512),목동 (1.961),원남동 (5.556),종로1가 (29.24),중학동 (10.0),성내동 (18.605),도림동 (15.781),대치동 (-26.984)
대조동 (-0.758),무악동 (8.163),가회동 (7.692),대조동 (5.096),율현동 (0.0),돈의동 (4.36),장사동 (28.369),종로3가 (9.524),당산동1가 (18.095),신문로2가 (15.736),등촌동 (-27.273)
도림동 (-1.01),교남동 (8.065),화동 (7.609),청진동 (4.972),응암동 (0.0),명륜4가 (3.953),문래동2가 (27.059),명륜4가 (9.091),영등포동8가 (17.766),수송동 (15.67),문래동6가 (-28.319)
연건동 (-2.778),율현동 (7.692),창신동 (7.317),신정동 (4.545),고덕동 (0.0),영등포동4가 (1.724),필운동 (26.786),신월동 (9.091),문래동6가 (17.736),수색동 (15.574),신림동 (-28.571)
영등포동4가 (-3.226),창성동 (6.25),계동 (6.944),소격동 (3.896),공항동 (0.0),수송동 (1.357),당산동3가 (26.136),상일동 (8.759),무악동 (16.923),도렴동 (15.385),잠실동 (-28.571)
동숭동 (-4.167),종로2가 (6.25),불광동 (6.667),문래동6가 (3.061),내수동 (0.0),운니동 (1.099),수송동 (25.893),경운동 (8.537),신천동 (16.822),삼성동 (14.286),우이동 (-28.718)
계동 (-4.294),번동 (6.25),도선동 (6.25),명륜3가 (2.479),명륜1가 (0.0),도림동 (0.719),화동 (25.862),계동 (8.213),영등포동2가 (16.667),낙원동 (14.286),무악동 (-28.743)
공항동 (-4.762),관훈동 (5.882),우이동 (5.882),영등포동8가 (2.308),갈현동 (0.0),당산동4가 (0.0),명륜4가 (25.475),당산동6가 (7.812),명륜1가 (16.667),종로3가 (14.286),일원동 (-29.167)
무악동 (-5.769),체부동 (5.512),석촌동 (5.556),돈의동 (1.404),장지동 (0.0),화곡동 (0.0),양평동6가 (25.0),종로2가 (5.556),종로6가 (16.244),녹번동 (14.085),구기동 (-30.0)
불광동 (-6.154),방이동 (5.405),공항동 (5.085),영등포동3가 (0.0),거여동 (0.0),율현동 (0.0),영등포동2가 (25.0),원서동 (5.263),종로4가 (15.873),종로2가 (13.636),적선동 (-30.576)
내수동 (-6.25),신문로2가 (5.028),인사동 (4.878),양화동 (0.0),견지동 (0.0),개포동 (0.0),문래동6가 (24.885),영등포동8가 (3.684),가락동 (15.873),묵동 (13.58),운니동 (-30.714)
창신동 (-6.278),종로1가 (4.787),양평동5가 (4.103),양평동4가 (0.0),무악동 (-0.664),관훈동 (0.0),연건동 (24.561),인의동 (2.752),종로1가 (15.865),양평동5가 (13.235),내발산동 (-30.769)
수송동 (-7.927),고덕동 (4.762),누하동 (3.704),등촌동 (0.0),운니동 (-1.087),고덕동 (0.0),상일동 (24.545),신문로2가 (2.564),종로2가 (15.789),문정동 (12.766),명륜4가 (-30.805)
