,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,신림동 (1669),신림동 (1828),신림동 (2176),신림동 (2454),신림동 (2387),신림동 (2412),역삼동 (2437),역삼동 (2756),역삼동 (2958),역삼동 (3243),역삼동 (3526),서초동 (3841)
1,구로동 (1317),봉천동 (1396),봉천동 (1624),봉천동 (1808),역삼동 (2011),역삼동 (2211),신림동 (2186),신림동 (2410),신림동 (2554),서초동 (2854),서초동 (3278),역삼동 (3526)
2,서초동 (1237),구로동 (1386),역삼동 (1514),역삼동 (1763),봉천동 (1697),신사동 (1857),서초동 (2033),서초동 (2297),서초동 (2528),신림동 (2628),신림동 (2771),구로동 (3232)
3,봉천동 (1235),역삼동 (1298),구로동 (1448),화곡동 (1543),신사동 (1689),서초동 (1819),신사동 (1918),신사동 (2094),신사동 (2197),구로동 (2354),구로동 (2768),서교동 (3000)
4,화곡동 (1192),서초동 (1272),화곡동 (1419),신사동 (1484),서초동 (1619),봉천동 (1770),봉천동 (1673),봉천동 (1866),구로동 (2063),신사동 (2252),서교동 (2467),신림동 (2771)
5,역삼동 (982),화곡동 (1267),서초동 (1351),서초동 (1477),화곡동 (1592),화곡동 (1622),화곡동 (1654),구로동 (1797),봉천동 (2010),봉천동 (2089),신사동 (2367),여의도동 (2579)
6,상계동 (923),신사동 (987),신사동 (1264),구로동 (1327),구로동 (1442),구로동 (1530),구로동 (1588),논현동 (1734),화곡동 (1930),서교동 (2086),화곡동 (2276),상계동 (2560)
7,독산동 (885),상계동 (969),상계동 (1049),논현동 (1190),논현동 (1276),논현동 (1411),논현동 (1556),화곡동 (1700),논현동 (1921),화곡동 (2067),봉천동 (2236),신사동 (2367)
8,목동 (815),독산동 (923),논현동 (1025),상계동 (1118),상계동 (1226),대치동 (1322),대치동 (1385),상계동 (1563),서교동 (1758),논현동 (2029),여의도동 (2233),화곡동 (2276)
9,방배동 (812),목동 (852),독산동 (972),대치동 (1030),대치동 (1154),상계동 (1312),상계동 (1384),대치동 (1525),상계동 (1736),상계동 (1938),상계동 (2203),봉천동 (2236)
10,시흥동 (806),여의도동 (829),목동 (907),독산동 (1022),미아동 (1134),미아동 (1256),미아동 (1293),서교동 (1468),대치동 (1631),여의도동 (1844),논현동 (2164),논현동 (2164)
11,여의도동 (777),시흥동 (825),미아동 (904),목동 (979),삼성동 (1102),삼성동 (1106),여의도동 (1188),미아동 (1405),미아동 (1530),대치동 (1659),방배동 (1754),목동 (2020)
12,미아동 (759),방배동 (803),대치동 (883),미아동 (975),독산동 (1047),독산동 (1083),서교동 (1154),여의도동 (1348),여의도동 (1499),방배동 (1564),미아동 (1720),방배동 (1997)
13,성내동 (757),미아동 (794),여의도동 (827),삼성동 (928),목동 (1037),여의도동 (1066),삼성동 (1150),삼성동 (1275),방배동 (1405),미아동 (1563),목동 (1719),잠실동 (1886)
14,신정동 (752),논현동 (790),시흥동 (815),천호동 (924),천호동 (1017),서교동 (1064),목동 (1147),방배동 (1268),삼성동 (1394),삼성동 (1529),대치동 (1697),미아동 (1720)
15,잠실동 (729),신정동 (771),천호동 (805),여의도동 (918),여의도동 (942),목동 (1043),방배동 (1104),목동 (1254),목동 (1367),목동 (1492),삼성동 (1639),반포동 (1699)
16,신사동 (698),잠실동 (746),신정동 (800),신정동 (863),서교동 (915),수유동 (997),수유동 (1074),수유동 (1202),수유동 (1295),수유동 (1426),잠실동 (1585),양재동 (1697)
17,천호동 (685),수유동 (713),잠실동 (788),성내동 (860),방배동 (914),방배동 (986),천호동 (1028),천호동 (1159),천호동 (1257),잠실동 (1363),수유동 (1541),대치동 (1697)
18,장안동 (665),대치동 (710),수유동 (778),시흥동 (843),성내동 (911),천호동 (970),신정동 (999),독산동 (1097),신정동 (1198),천호동 (1329),반포동 (1527),신정동 (1656)
19,신길동 (630),장안동 (683),방배동 (774),방배동 (834),수유동 (891),신정동 (936),반포동 (982),반포동 (1095),반포동 (1182),양재동 (1324),면목동 (1507),자양동 (1649)
20,수유동 (630),천호동 (666),삼성동 (769),잠실동 (828),신정동 (881),시흥동 (911),독산동 (981),신정동 (1087),양재동 (1163),반포동 (1317),양재동 (1486),삼성동 (1639)
21,반포동 (610),신길동 (661),성내동 (753),수유동 (807),시흥동 (847),반포동 (903),양재동 (945),양재동 (1050),성내동 (1163),신정동 (1298),신정동 (1411),문정동 (1619)
22,창동 (609),반포동 (657),반포동 (711),반포동 (789),반포동 (814),성내동 (884),잠실동 (932),성내동 (1042),잠실동 (1151),면목동 (1251),자양동 (1354),독산동 (1553)
23,가락동 (607),가락동 (647),가락동 (707),서교동 (788),잠실동 (792),양재동 (846),성내동 (921),잠실동 (995),독산동 (1107),성내동 (1212),독산동 (1303),가산동 (1551)
24,양재동 (607),삼성동 (640),서교동 (691),가락동 (744),양재동 (777),잠실동 (820),청담동 (811),면목동 (922),면목동 (1082),자양동 (1211),문정동 (1298),수유동 (1541)
25,신월동 (604),성내동 (636),장안동 (638),양재동 (706),신월동 (714),자양동 (763),시흥동 (800),자양동 (894),자양동 (1056),독산동 (1165),가산동 (1285),면목동 (1507)
26,사당동 (578),서교동 (626),신길동 (626),신길동 (686),청담동 (709),신길동 (753),장안동 (794),장안동 (888),창천동 (961),창천동 (1101),창천동 (1256),사당동 (1479)
27,대치동 (571),신월동 (625),양재동 (623),자양동 (656),신길동 (709),장안동 (748),자양동 (793),청담동 (870),신월동 (957),사당동 (1060),사당동 (1249),창천동 (1454)
28,논현동 (564),양재동 (620),신월동 (623),신월동 (654),가락동 (703),청담동 (745),신길동 (791),신월동 (868),장안동 (944),신월동 (1049),천호동 (1234),신월동 (1371)
29,자양동 (551),창동 (592),창동 (608),창동 (650),장안동 (697),신월동 (736),신월동 (785),창천동 (867),신길동 (941),장안동 (1046),이태원동 (1192),장안동 (1361)
30,대림동 (545),대림동 (579),사당동 (601),장안동 (646),자양동 (691),방화동 (695),면목동 (779),신길동 (858),사당동 (925),가산동 (1043),장안동 (1183),방이동 (1337)
31,서교동 (533),사당동 (576),자양동 (594),청담동 (631),방화동 (661),면목동 (692),창천동 (752),시흥동 (858),시흥동 (914),신길동 (1019),신월동 (1167),구의동 (1328)
32,남가좌동 (499),자양동 (552),방학동 (546),방이동 (598),창천동 (640),창천동 (681),가산동 (718),가산동 (848),가산동 (880),가락동 (974),성내동 (1159),대림동 (1297)
33,방학동 (490),방화동 (519),방화동 (541),방화동 (584),창동 (617),가락동 (672),사당동 (707),사당동 (807),가락동 (872),구의동 (974),신길동 (1140),시흥동 (1292)
34,삼성동 (488),방학동 (505),대림동 (535),창천동 (577),구의동 (612),구의동 (659),가락동 (701),가락동 (778),구의동 (872),시흥동 (972),구의동 (1135),신길동 (1260)
35,방이동 (482),방이동 (494),방이동 (523),등촌동 (572),면목동 (596),가산동 (654),구의동 (695),구의동 (771),청담동 (863),청담동 (952),대림동 (1123),화양동 (1255)
36,상도동 (472),등촌동 (475),청담동 (522),사당동 (568),방이동 (592),창동 (615),방화동 (669),방화동 (736),방이동 (812),대림동 (939),시흥동 (1102),가락동 (1249)
37,구의동 (468),상도동 (473),등촌동 (521),구의동 (555),가산동 (559),중곡동 (590),창동 (657),중곡동 (707),대림동 (797),방이동 (928),방이동 (1085),중곡동 (1243)
38,방화동 (449),창천동 (470),창천동 (517),방학동 (550),중곡동 (549),사당동 (583),중곡동 (636),대림동 (703),창동 (770),이태원동 (926),화양동 (1059),천호동 (1234)
39,중곡동 (424),개봉동 (466),구의동 (510),대림동 (542),사당동 (547),방이동 (558),방이동 (620),방이동 (701),중곡동 (765),화양동 (901),가락동 (1059),이태원동 (1192)
40,창천동 (422),구의동 (465),개봉동 (485),면목동 (518),대림동 (540),대림동 (553),대림동 (616),창동 (677),방화동 (759),중곡동 (900),청담동 (1033),창동 (1168)
41,길동 (422),남가좌동 (440),상도동 (481),길동 (507),등촌동 (540),등촌동 (540),등촌동 (581),등촌동 (657),화양동 (754),창동 (895),중곡동 (1031),성내동 (1159)
42,중계동 (416),중계동 (433),중곡동 (451),중계동 (496),중계동 (519),방학동 (539),중계동 (573),화양동 (655),공릉동 (721),문정동 (855),창동 (1005),성수동2가 (1131)
43,장위동 (408),중곡동 (421),중계동 (440),가산동 (495),방학동 (507),중계동 (517),방학동 (560),공릉동 (634),이태원동 (706),공릉동 (831),신당동 (987),공릉동 (1123)
44,개봉동 (408),청담동 (415),길동 (433),중곡동 (487),길동 (473),상도동 (502),공릉동 (554),중계동 (628),신당동 (696),신당동 (818),공릉동 (940),상암동 (1096)
45,등촌동 (403),전농동 (399),가산동 (430),상도동 (471),남가좌동 (466),공릉동 (493),화양동 (532),신당동 (625),등촌동 (686),방화동 (799),성수동2가 (934),청담동 (1033)
46,전농동 (389),길동 (381),남가좌동 (422),암사동 (442),공릉동 (466),길동 (490),길동 (531),길동 (611),중계동 (670),성수동2가 (777),등촌동 (903),행당동 (1012)
47,도봉동 (383),답십리동 (379),면목동 (412),개봉동 (431),상도동 (460),성수동2가 (471),상도동 (530),상도동 (593),성수동2가 (661),상도동 (761),상도동 (881),상도동 (1002)
48,답십리동 (360),도봉동 (375),암사동 (410),남가좌동 (428),암사동 (452),도곡동 (465),성수동2가 (526),성수동2가 (579),길동 (654),등촌동 (754),상암동 (848),신당동 (987)
49,제기동 (357),석촌동 (369),전농동 (404),명일동 (416),개봉동 (445),남가좌동 (465),도곡동 (526),방학동 (577),방학동 (652),행당동 (748),행당동 (848),중계동 (979)
50,용두동 (356),제기동 (367),공릉동 (384),공릉동 (414),문정동 (429),개봉동 (464),신당동 (520),도곡동 (570),상도동 (650),중계동 (743),중계동 (843),방학동 (977)
51,석촌동 (354),공릉동 (365),장위동 (381),석촌동 (412),잠원동 (428),신당동 (463),잠원동 (502),잠원동 (566),문정동 (631),방학동 (740),방학동 (831),등촌동 (903)
52,성수동2가 (353),잠원동 (365),잠원동 (379),문정동 (411),장위동 (428),화양동 (454),남가좌동 (489),행당동 (561),응암동 (621),응암동 (724),방화동 (828),망원동 (888)
53,공릉동 (345),용두동 (361),용두동 (375),잠원동 (410),명일동 (428),잠원동 (452),문정동 (485),응암동 (559),잠원동 (618),상암동 (693),갈현동 (799),연남동 (887)
54,쌍문동 (345),가산동 (357),석촌동 (375),전농동 (387),성수동2가 (427),장위동 (442),응암동 (477),문정동 (557),행당동 (616),갈현동 (692),응암동 (791),잠원동 (885)
55,명일동 (338),장위동 (356),고척동 (374),장위동 (384),행당동 (415),문정동 (440),전농동 (475),이태원동 (545),도곡동 (590),잠원동 (665),노량진동 (779),노량진동 (879)
56,잠원동 (335),성수동2가 (342),명일동 (369),성수동2가 (382),전농동 (414),전농동 (434),장위동 (474),개봉동 (514),개봉동 (582),길동 (652),잠원동 (768),동교동 (877)
57,가산동 (327),고척동 (342),도봉동 (369),도봉동 (374),화양동 (407),명일동 (429),개봉동 (473),명일동 (513),갈현동 (573),개봉동 (648),마곡동 (762),방화동 (828)
58,암사동 (326),송파동 (340),답십리동 (360),송파동 (372),도곡동 (402),홍제동 (421),명일동 (465),전농동 (508),명일동 (556),노량진동 (638),한남동 (741),개봉동 (804)
59,노량진동 (325),쌍문동 (329),송파동 (358),화양동 (369),홍제동 (400),암사동 (421),행당동 (457),남가좌동 (507),남가좌동 (530),도곡동 (598),망원동 (727),갈현동 (799)
60,청담동 (323),암사동 (327),성수동2가 (349),홍제동 (366),정릉동 (390),개포동 (419),개포동 (450),갈현동 (497),상암동 (529),정릉동 (586),동교동 (712),응암동 (791)
61,고척동 (323),화양동 (325),쌍문동 (343),정릉동 (364),신당동 (374),응암동 (419),정릉동 (442),장위동 (490),정릉동 (529),동교동 (583),개봉동 (701),고척동 (769)
62,정릉동 (321),노량진동 (320),홍제동 (342),개포동 (363),응암동 (374),정릉동 (415),홍제동 (442),홍제동 (487),전농동 (529),홍제동 (581),연남동 (675),마곡동 (762)
63,송파동 (321),문정동 (312),문정동 (339),도곡동 (358),석촌동 (366),번동 (385),노량진동 (414),정릉동 (485),노량진동 (524),망원동 (576),정릉동 (653),정릉동 (745)
64,문정동 (300),면목동 (311),개포동 (334),행당동 (358),고척동 (366),도봉동 (382),갈현동 (412),암사동 (483),암사동 (519),남가좌동 (575),상봉동 (650),한남동 (741)
65,홍제동 (299),마천동 (310),화양동 (333),쌍문동 (350),노량진동 (356),용두동 (381),이문동 (409),이문동 (479),월계동 (508),한남동 (567),고척동 (640),신천동 (729)
66,공덕동 (289),홍제동 (308),행당동 (329),고척동 (343),도봉동 (355),고척동 (377),월계동 (407),개포동 (477),홍제동 (507),이문동 (565),전농동 (625),합정동 (724)
67,신대방동 (288),명일동 (305),정릉동 (323),용두동 (341),용두동 (354),이문동 (376),암사동 (407),월계동 (475),이문동 (500),고척동 (563),남가좌동 (625),전농동 (722)
68,화양동 (284),신대방동 (299),노량진동 (323),월계동 (333),개포동 (350),행당동 (374),석촌동 (398),상암동 (462),한남동 (474),전농동 (560),월계동 (619),송파동 (719)
69,마천동 (284),공덕동 (295),도곡동 (320),노량진동 (331),월계동 (348),석촌동 (373),번동 (395),노량진동 (459),동교동 (472),명일동 (551),길동 (616),성수동1가 (707)
70,이문동 (279),정릉동 (288),마천동 (314),답십리동 (316),답십리동 (340),노량진동 (373),도봉동 (394),제기동 (433),개포동 (468),월계동 (546),도곡동 (611),월계동 (704)
71,행당동 (271),도화동 (287),공덕동 (311),신대방동 (315),번동 (338),답십리동 (369),이태원동 (386),석촌동 (429),장위동 (463),상봉동 (537),도봉동 (610),석촌동 (704)
72,하월곡동 (269),행당동 (287),월계동 (305),이문동 (313),이문동 (338),월계동 (365),용두동 (380),용두동 (417),석촌동 (459),도봉동 (532),홍제동 (609),도화동 (696)
73,도화동 (264),이문동 (285),도화동 (305),홍은동 (312),송파동 (334),망원동 (354),답십리동 (378),번동 (414),도봉동 (457),암사동 (530),신천동 (604),도봉동 (693)
74,월계동 (260),도곡동 (280),이문동 (302),마천동 (310),망원동 (332),갈현동 (350),상암동 (377),하월곡동 (412),망원동 (457),석촌동 (521),합정동 (602),쌍문동 (690)
75,오금동 (254),개포동 (279),신대방동 (299),신당동 (310),제기동 (322),홍은동 (345),대현동 (369),답십리동 (412),하월곡동 (457),송파동 (509),이문동 (601),홍제동 (686)
76,번동 (252),월계동 (279),제기동 (297),도화동 (306),홍은동 (321),상암동 (339),하월곡동 (357),도봉동 (408),상봉동 (454),하월곡동 (507),쌍문동 (586),남가좌동 (684)
77,삼전동 (251),대현동 (272),번동 (291),공덕동 (306),대현동 (316),제기동 (338),제기동 (356),대현동 (406),제기동 (454),쌍문동 (504),석촌동 (579),이문동 (680)
78,망원동 (250),번동 (270),홍은동 (288),제기동 (306),하월곡동 (315),도화동 (338),홍은동 (354),동교동 (402),고척동 (448),신천동 (502),도화동 (576),성산동 (650)
79,거여동 (245),홍은동 (268),망원동 (284),대현동 (303),쌍문동 (315),대현동 (337),고척동 (345),송파동 (402),신천동 (447),개포동 (501),송파동 (575),상봉동 (650)
80,오류동 (242),망원동 (266),대현동 (284),삼전동 (298),마천동 (313),하월곡동 (334),쌍문동 (339),고척동 (399),송파동 (445),장위동 (485),성수동1가 (568),길동 (616)
81,대현동 (238),오금동 (261),내발산동 (275),응암동 (297),도화동 (312),마천동 (333),내발산동 (336),신천동 (397),번동 (432),제기동 (481),성산동 (545),도곡동 (611)
82,개포동 (238),삼전동 (259),삼전동 (271),망원동 (297),공덕동 (305),쌍문동 (324),동교동 (332),한남동 (396),쌍문동 (426),망우동 (472),망우동 (539),하월곡동 (602)
83,홍은동 (236),오류동 (250),오금동 (266),오금동 (290),동교동 (295),동교동 (319),송파동 (331),상봉동 (384),답십리동 (413),도화동 (472),하월곡동 (535),연희동 (593)
84,도곡동 (229),거여동 (249),하월곡동 (264),번동 (290),갈현동 (290),공덕동 (313),망원동 (328),홍은동 (381),용두동 (410),연남동 (470),불광동 (533),회기동 (582)
85,석관동 (223),하월곡동 (232),오류동 (262),하월곡동 (287),내발산동 (288),송파동 (307),마천동 (324),망원동 (380),도화동 (409),불광동 (466),대조동 (525),신대방동 (580)
86,길음동 (222),풍납동 (229),거여동 (246),내발산동 (284),상암동 (287),내발산동 (302),한남동 (324),쌍문동 (373),홍은동 (401),대조동 (462),제기동 (515),장위동 (579)
87,풍납동 (220),성산동 (227),공항동 (243),거여동 (268),오금동 (286),성산동 (302),상봉동 (320),대조동 (368),망우동 (400),합정동 (456),연희동 (507),제기동 (576)
88,청량리동 (212),내발산동 (227),북아현동 (239),갈현동 (256),신대방동 (285),이태원동 (299),오금동 (316),신대방동 (350),대현동 (399),번동 (455),장위동 (506),공덕동 (574)
89,북가좌동 (211),북아현동 (226),신당동 (239),성산동 (254),길음동 (274),신대방동 (297),신대방동 (311),불광동 (347),연희동 (396),대현동 (450),개포동 (504),안암동5가 (571)
90,성산동 (211),청량리동 (226),풍납동 (236),길음동 (253),삼전동 (274),오금동 (295),공덕동 (308),연희동 (342),대조동 (396),용두동 (445),번동 (503),상수동 (555)
91,북아현동 (210),회기동 (216),청량리동 (234),공항동 (252),거여동 (274),길음동 (290),불광동 (308),내발산동 (341),불광동 (390),홍은동 (443),중화동 (493),용두동 (547)
92,회기동 (204),공항동 (214),석관동 (232),신천동 (248),성산동 (271),거여동 (283),거여동 (307),망우동 (337),신대방동 (384),연희동 (438),공덕동 (491),망우동 (539)
93,합정동 (200),동교동 (209),신천동 (231),동교동 (246),공항동 (265),연희동 (271),대조동 (306),도화동 (333),성산동 (383),성산동 (438),신대방동 (489),불광동 (533)
94,공항동 (197),석관동 (202),성산동 (228),풍납동 (243),연희동 (262),불광동 (269),연희동 (305),성산동 (332),공덕동 (373),신대방동 (434),암사동 (487),홍은동 (533)
95,면목동 (197),성수동1가 (198),동교동 (225),석관동 (242),신천동 (255),대조동 (269),길음동 (298),성수동1가 (330),합정동 (365),답십리동 (428),용두동 (482),흑석동 (526)
96,흑석동 (197),흑석동 (198),회기동 (221),합정동 (232),석관동 (248),합정동 (265),도화동 (297),오금동 (328),안암동5가 (363),성수동1가 (426),안암동5가 (474),대조동 (525)
97,성수동1가 (194),북가좌동 (196),길음동 (217),오류동 (231),풍납동 (244),상봉동 (265),삼전동 (293),흑석동 (328),성수동1가 (363),안암동5가 (425),홍은동 (473),대현동 (524)
98,아현동 (191),합정동 (194),합정동 (216),상암동 (231),대조동 (242),삼전동 (263),성산동 (284),회기동 (324),회기동 (361),회기동 (416),묵동 (469),답십리동 (519)
99,내발산동 (190),신천동 (192),응암동 (210),청량리동 (227),합정동 (239),오류동 (262),성수동1가 (279),공덕동 (319),마천동 (360),공덕동 (415),회기동 (465),개포동 (504)
100,휘경동 (190),휘경동 (187),흑석동 (207),연희동 (220),오류동 (237),석관동 (257),흑석동 (278),오류동 (312),오금동 (358),중화동 (403),상수동 (465),번동 (503)
101,종암동 (183),길음동 (187),연희동 (203),흑석동 (212),상봉동 (235),망우동 (253),망우동 (272),마천동 (310),오류동 (356),묵동 (402),대현동 (463),중화동 (493)
102,신천동 (182),연희동 (186),노고산동 (196),종암동 (210),이태원동 (234),한남동 (252),회기동 (268),합정동 (309),흑석동 (356),오류동 (392),답십리동 (450),신도림동 (493)
