,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
312,필동2가 (7),동소문동4가 (11),연지동 (14),태평로1가 (18),과해동 (22),남산동2가 (26),장지동 (29),주교동 (33),안국동 (39),문래동1가 (46),동선동4가 (56),소격동 (57)
313,후암동 (7),무악동 (11),만리동2가 (14),보문동2가 (18),삼선동1가 (22),저동2가 (26),내곡동 (29),원지동 (32),중동 (39),동선동4가 (46),수표동 (54),명륜1가 (57)
314,종로6가 (7),원효로2가 (11),신문로2가 (14),초동 (18),계동 (22),계동 (26),저동2가 (29),충무로5가 (32),본동 (39),동소문동6가 (45),누하동 (54),문래동1가 (56)
315,돈의동 (7),교북동 (11),구수동 (14),정동 (18),을지로3가 (22),무학동 (26),충무로5가 (28),삼선동4가 (32),효창동 (39),홍지동 (45),수하동 (54),안국동 (56)
316,무교동 (7),옥천동 (11),재동 (14),동소문동6가 (18),인현동2가 (22),장지동 (25),삼선동4가 (28),보문동1가 (32),사근동 (39),본동 (44),본동 (52),영천동 (55)
317,항동 (7),남산동2가 (11),동선동5가 (13),세곡동 (17),서린동 (21),신영동 (25),응봉동 (28),도렴동 (32),동소문동6가 (38),오장동 (44),주교동 (51),성북동1가 (54)
318,관수동 (7),갈월동 (11),양평동6가 (13),을지로1가 (17),저동2가 (21),도렴동 (25),원효로3가 (28),익선동 (32),삼선동1가 (37),도렴동 (43),영천동 (51),누하동 (54)
319,한강로1가 (7),신문로2가 (10),동소문동1가 (13),신영동 (17),신영동 (21),필동1가 (25),무학동 (27),홍지동 (31),신원동 (37),효창동 (43),효창동 (50),중동 (54)
320,진관동 (7),연지동 (10),통의동 (13),주교동 (17),을지로1가 (21),구수동 (24),인현동2가 (27),소격동 (31),오장동 (37),영천동 (43),무학동 (50),수표동 (54)
321,천왕동 (6),천연동 (10),동소문동3가 (13),서린동 (17),구수동 (21),외발산동 (24),사근동 (27),안국동 (31),쌍림동 (37),서린동 (42),오장동 (50),수하동 (54)
322,서계동 (6),신문로1가 (10),동소문동4가 (13),회현동2가 (17),회현동2가 (20),회현동2가 (24),중동 (26),중동 (31),삼선동4가 (36),중동 (42),도렴동 (49),구수동 (52)
323,만리동2가 (6),교남동 (10),저동2가 (13),교북동 (17),상왕십리동 (20),청파동1가 (24),남산동2가 (26),무학동 (30),서린동 (36),충무로5가 (42),홍지동 (49),주교동 (51)
324,염곡동 (6),태평로1가 (10),저동1가 (13),만리동2가 (16),교북동 (20),서린동 (23),안국동 (26),청파동1가 (30),영천동 (36),명륜1가 (41),중동 (49),동소문동6가 (51)
325,오장동 (6),통의동 (10),서린동 (12),필운동 (16),흥인동 (20),소격동 (23),동소문동6가 (25),동소문동6가 (30),충무로5가 (36),삼선동1가 (41),충무로5가 (49),오장동 (50)
326,도렴동 (6),원효로1가 (9),명륜3가 (12),인현동2가 (16),영등포동1가 (20),필운동 (22),서린동 (25),천왕동 (30),무학동 (35),청파동1가 (41),nan (48),효창동 (50)
327,신문로1가 (6),동소문동7가 (9),강일동 (12),계동 (16),소격동 (19),신원동 (22),원효로4가 (25),장지동 (30),인현동2가 (35),무학동 (40),문래동1가 (48),무학동 (50)
328,연지동 (6),성북동1가 (9),효창동 (12),홍지동 (16),동선동3가 (19),과해동 (22),회현동2가 (25),동선동3가 (29),원남동 (34),내곡동 (39),청파동1가 (47),충무로5가 (49)
329,공평동 (6),만리동2가 (9),옥천동 (11),재동 (16),보문동2가 (18),쌍림동 (21),마포동 (25),서린동 (29),홍지동 (34),보문동1가 (39),삼선동1가 (46),동선동3가 (49)
330,삼선동3가 (6),문래동5가 (9),신영동 (11),저동2가 (16),동소문동1가 (18),교북동 (21),동선동3가 (24),명륜1가 (29),청파동1가 (34),쌍림동 (39),성북동1가 (45),홍지동 (49)
331,저동1가 (6),소격동 (9),필운동 (11),동소문동4가 (15),동소문동6가 (18),동소문동1가 (21),홍지동 (24),사근동 (29),보문동1가 (34),무악동 (39),문배동 (45),도렴동 (49)
332,남창동 (6),봉익동 (8),원남동 (11),화동 (15),동소문동4가 (18),동소문동4가 (21),수표동 (23),신원동 (29),명륜1가 (33),회현동2가 (39),인현동2가 (44),nan (48)
333,명동1가 (6),원남동 (8),홍지동 (11),동선동3가 (15),필운동 (18),영등포동1가 (21),동소문동4가 (23),원효로4가 (29),마포동 (33),응봉동 (38),구수동 (43),보문동1가 (48)
334,보문동6가 (6),공평동 (8),무학동 (11),구수동 (15),외발산동 (17),사근동 (21),소격동 (23),인현동2가 (29),동선동3가 (33),인현동2가 (38),남대문로4가 (42),청파동1가 (47)
335,안암동1가 (6),장충동1가 (8),원효로2가 (11),보문동5가 (14),교남동 (17),안국동 (21),영등포동1가 (23),수표동 (29),내곡동 (33),문배동 (37),원지동 (41),동소문동4가 (46)
336,세곡동 (6),원효로3가 (8),청파동1가 (11),저동1가 (14),봉래동1가 (17),상왕십리동 (20),남대문로4가 (22),수하동 (29),구수동 (32),원남동 (37),내곡동 (41),내곡동 (46)
337,인현동1가 (6),nan (8),보문동5가 (11),소격동 (14),홍지동 (17),성북동1가 (20),신영동 (22),내곡동 (28),회현동2가 (31),견지동 (35),동선동3가 (41),영등포동1가 (46)
338,무학동 (6),계동 (7),태평로1가 (11),남대문로4가 (14),성북동1가 (17),원효로4가 (20),중학동 (21),회현동2가 (28),천왕동 (31),구수동 (35),응봉동 (41),응봉동 (46)
339,신문로2가 (6),청파동1가 (7),필동3가 (11),무학동 (14),원효로4가 (17),화동 (20),천왕동 (21),오장동 (27),남대문로4가 (30),누하동 (35),회현동2가 (41),원지동 (45)
340,무악동 (6),안암동4가 (7),nan (10),오장동 (14),화동 (16),동소문동6가 (20),명륜1가 (21),화동 (25),가회동 (30),남대문로4가 (35),보문동1가 (41),문배동 (45)
341,운니동 (5),오장동 (7),계동 (10),동소문동1가 (14),안국동 (16),충무로5가 (19),수하동 (21),nan (24),원지동 (29),동선동3가 (34),저동1가 (40),인현동2가 (44)
342,충무로4가 (5),종로3가 (7),소격동 (10),청파동1가 (14),견지동 (16),홍지동 (19),성북동1가 (21),문배동 (24),문배동 (29),가회동 (34),마포동 (40),문래동5가 (44)
343,원효로1가 (5),을지로4가 (7),원효로4가 (10),을지로3가 (13),보문동5가 (16),봉래동1가 (19),오장동 (21),교남동 (24),수하동 (29),영등포동1가 (33),동소문동6가 (40),마포동 (44)
344,쌍림동 (5),을지로1가 (7),견지동 (10),견지동 (13),저동1가 (16),동선동3가 (19),신원동 (21),남대문로4가 (24),와룡동 (28),마포동 (33),무악동 (40),동선동5가 (43)
345,통의동 (5),현저동 (7),을지로1가 (10),사근동 (13),충무로5가 (16),수하동 (18),견지동 (21),중학동 (24),동소문동1가 (28),천왕동 (32),원남동 (39),동소문동1가 (42)
346,서소문동 (5),명륜3가 (7),인현동1가 (10),안국동 (13),오장동 (16),동빙고동 (18),동소문동1가 (21),장충동1가 (23),영등포동1가 (28),nan (32),영등포동1가 (39),남대문로4가 (42)
347,필운동 (5),현석동 (7),보문동4가 (10),공평동 (13),명륜1가 (15),보문동2가 (18),화동 (20),동빙고동 (23),성북동1가 (27),동소문동1가 (31),화동 (39),회현동2가 (41)
348,안암동3가 (5),필동1가 (7),천연동 (10),봉래동1가 (13),청파동1가 (15),저동1가 (18),구수동 (20),동소문동1가 (23),중학동 (27),성북동1가 (31),교남동 (38),저동1가 (40)
349,인현동2가 (5),인현동1가 (7),현석동 (9),양평동6가 (13),무학동 (15),오장동 (18),저동1가 (20),봉익동 (23),원효로4가 (27),신영동 (30),동소문동1가 (38),무악동 (40)
350,원효로3가 (5),율현동 (7),공평동 (9),충무로5가 (13),동빙고동 (15),교남동 (17),봉래동1가 (19),동소문동4가 (23),견지동 (27),옥인동 (30),견지동 (38),원남동 (39)
351,장교동 (5),묵정동 (6),문배동 (9),원남동 (12),수하동 (15),명륜1가 (17),동빙고동 (19),원남동 (22),누하동 (27),원효로4가 (30),문래동5가 (37),화동 (39)
352,교남동 (5),체부동 (6),종로4가 (9),장충동1가 (12),종로4가 (15),견지동 (17),교남동 (19),구수동 (22),신영동 (27),율현동 (29),가회동 (36),교남동 (38)
353,장충동1가 (4),홍지동 (6),초동 (9),체부동 (12),남대문로4가 (15),남대문로4가 (17),nan (19),성북동1가 (22),동빙고동 (26),원지동 (29),동선동5가 (35),견지동 (38)
354,합동 (4),종로4가 (6),충무로5가 (9),nan (12),체부동 (15),종로4가 (16),보문동2가 (18),영등포동1가 (22),화동 (26),문래동5가 (28),와룡동 (35),보문동2가 (37)
355,홍지동 (4),서린동 (6),장충동1가 (9),동선동5가 (12),사근동 (15),봉익동 (16),을지로4가 (18),신영동 (22),nan (25),동선동5가 (28),옥인동 (34),가회동 (36)
356,태평로1가 (4),무학동 (6),정동 (9),종로4가 (12),원남동 (14),을지로4가 (16),종로4가 (18),옥인동 (21),동소문동4가 (25),동소문동4가 (28),동소문동4가 (34),와룡동 (35)
357,와룡동 (4),남대문로2가 (6),오장동 (9),원효로4가 (11),양평동6가 (14),천왕동 (15),율현동 (17),을지로4가 (21),봉익동 (25),화동 (28),신영동 (33),안암동1가 (35)
358,계동 (4),남대문로4가 (6),장교동 (8),명륜1가 (11),nan (13),율현동 (15),익선동 (17),보문동5가 (21),장충동1가 (25),와룡동 (27),천왕동 (33),옥인동 (34)
359,정동 (4),쌍림동 (6),인현동2가 (8),보문동4가 (10),만리동2가 (13),공평동 (15),동선동5가 (17),원서동 (21),옥인동 (25),보문동5가 (26),동빙고동 (33),을지로4가 (33)
360,묵정동 (4),남산동1가 (6),합동 (8),쌍림동 (10),공평동 (13),장충동1가 (15),장충동1가 (17),견지동 (21),을지로4가 (24),인현동1가 (26),을지로4가 (33),신영동 (33)
361,남대문로2가 (4),문배동 (6),을지로3가 (8),을지로4가 (10),장충동1가 (12),nan (14),문배동 (16),종로4가 (20),인현동1가 (24),장충동1가 (26),보문동2가 (32),동빙고동 (33)
362,예관동 (4),강일동 (6),동빙고동 (8),동소문동3가 (10),보문동4가 (12),인현동1가 (14),봉익동 (16),율현동 (20),보문동5가 (24),을지로4가 (26),율현동 (32),천왕동 (33)
363,종로4가 (4),인현동2가 (6),성북동1가 (8),문래동5가 (10),문래동5가 (12),동소문동7가 (13),교북동 (16),봉래동1가 (20),원서동 (23),동빙고동 (26),원효로4가 (31),보문동5가 (32)
364,필동3가 (4),수표동 (6),을지로4가 (8),천연동 (10),을지로4가 (12),양평동6가 (13),보문동5가 (16),가회동 (19),교남동 (23),원서동 (25),남대문로3가 (31),율현동 (32)
365,필동1가 (4),천왕동 (6),남대문로4가 (8),봉익동 (9),율현동 (12),합동 (13),동소문동7가 (15),동소문동7가 (19),보문동2가 (22),봉익동 (25),종로4가 (31),장충동1가 (31)
366,재동 (3),안암동1가 (6),쌍림동 (8),성북동1가 (9),동선동5가 (12),보문동5가 (13),합동 (15),와룡동 (19),종로4가 (22),종로4가 (25),장충동1가 (31),종로4가 (31)
367,용산동3가 (3),보문동6가 (6),동소문동7가 (8),동소문동7가 (9),원서동 (11),수표동 (13),남대문로3가 (15),동선동5가 (19),남대문로3가 (22),남대문로3가 (24),인현동1가 (30),원효로4가 (31)
368,만리동1가 (3),필동3가 (6),문래동5가 (8),인현동1가 (9),동소문동3가 (11),문배동 (13),원남동 (15),문래동5가 (18),율현동 (22),동소문동7가 (23),원서동 (29),남대문로3가 (31)
369,산림동 (3),안국동 (5),체부동 (7),율현동 (9),봉익동 (11),평동 (12),문래동5가 (15),남대문로3가 (18),문래동5가 (21),봉래동1가 (23),보문동5가 (28),인현동1가 (30)
370,신영동 (3),신영동 (5),봉익동 (7),현석동 (9),인현동1가 (11),원남동 (12),와룡동 (14),누하동 (18),봉래동1가 (21),중학동 (23),봉익동 (28),원서동 (29)
371,안국동 (3),재동 (5),안국동 (7),합동 (9),문배동 (11),천연동 (12),누하동 (14),인현동1가 (18),동소문동7가 (19),교남동 (23),중학동 (28),봉익동 (28)
372,을지로3가 (3),안암동2가 (5),안암동1가 (7),옥천동 (9),옥천동 (10),문래동5가 (12),공평동 (14),저동1가 (18),저동1가 (19),안암동1가 (22),봉래동1가 (27),중학동 (28)
373,종로3가 (3),견지동 (5),천왕동 (7),문배동 (9),안암동1가 (10),동선동5가 (12),인현동1가 (14),보문동2가 (16),동선동5가 (19),보문동2가 (22),안암동1가 (27),천연동 (27)
374,산천동 (3),항동 (5),홍파동 (7),개화동 (8),현석동 (10),남대문로3가 (12),외발산동 (14),동작동 (16),장교동 (17),남산동1가 (21),남대문로2가 (26),봉래동1가 (27)
375,초동 (3),홍파동 (5),가회동 (6),장사동 (8),남대문로2가 (10),보문동4가 (11),장교동 (14),남대문로2가 (15),평동 (17),운니동 (20),평동 (25),보문동4가 (27)
376,을지로1가 (3),초동 (5),와룡동 (6),동빙고동 (8),장교동 (10),와룡동 (11),양평동6가 (13),삼선동3가 (15),남대문로2가 (17),합동 (20),천연동 (25),동소문동7가 (26)
377,남산동1가 (3),장교동 (5),명륜1가 (6),가회동 (8),천연동 (10),원서동 (11),원서동 (13),안암동1가 (15),외발산동 (16),경운동 (20),외발산동 (25),합동 (26)
378,nan (3),동빙고동 (5),항동 (6),장교동 (8),수표동 (9),현석동 (11),천연동 (13),합동 (15),합동 (16),남대문로2가 (19),동소문동7가 (25),남대문로2가 (26)
379,회현동2가 (3),청운동 (5),율현동 (6),와룡동 (8),평동 (9),동소문동3가 (11),삼선동3가 (13),장교동 (15),보문동4가 (16),보문동4가 (19),운니동 (25),운니동 (25)
380,양화동 (3),효창동 (5),봉래동1가 (6),남대문로3가 (8),남대문로3가 (9),익선동 (11),보문동4가 (12),외발산동 (15),동작동 (15),평동 (18),남산동1가 (24),외발산동 (25)
381,봉래동1가 (3),만리동1가 (5),장사동 (6),수표동 (7),중학동 (9),안암동1가 (10),운니동 (12),보문동4가 (15),교북동 (15),동작동 (18),만리동1가 (23),평동 (25)
382,교북동 (3),정동 (5),화동 (6),홍파동 (7),와룡동 (9),누하동 (10),옥인동 (12),교북동 (14),경운동 (15),외발산동 (18),보문동4가 (23),남산동1가 (24)
383,체부동 (3),합동 (5),예장동 (6),평동 (6),합동 (9),중학동 (10),옥천동 (12),천연동 (14),운니동 (14),천연동 (18),예장동 (22),만리동1가 (23)
384,남대문로4가 (3),충정로1가 (5),만리동1가 (6),누하동 (6),익선동 (8),만리동2가 (9),남대문로2가 (12),양평동6가 (13),안암동1가 (14),예장동 (18),창성동 (21),예장동 (22)
385,가회동 (2),충무로5가 (5),운니동 (6),삼선동3가 (6),삼선동3가 (8),옥천동 (9),묵정동 (11),공평동 (13),삼선동3가 (14),양평동6가 (17),용산동3가 (21),삼선동3가 (22)
386,명륜3가 (2),봉래동1가 (4),남대문로2가 (6),안암동1가 (6),용산동3가 (8),남산동1가 (9),남산동1가 (11),남산동1가 (13),천연동 (14),창성동 (17),삼선동3가 (21),창성동 (21)
387,보문동3가 (2),예장동 (4),개화동 (6),청운동 (6),안암동2가 (8),항동 (8),평동 (11),옥천동 (13),청운동 (14),저동1가 (17),공평동 (21),용산동3가 (21)
388,을지로4가 (2),와룡동 (4),수하동 (5),남산동1가 (6),남산동1가 (8),남대문로2가 (8),동소문동3가 (10),운니동 (12),공평동 (13),장교동 (17),경운동 (21),경운동 (21)
389,옥인동 (2),남대문로3가 (4),충정로1가 (5),묵정동 (6),항동 (7),용산동3가 (8),청운동 (10),평동 (12),옥천동 (13),묵정동 (16),합동 (21),공평동 (21)
390,장사동 (2),안암동3가 (4),익선동 (5),예장동 (6),청운동 (7),삼선동3가 (8),안암동1가 (10),청운동 (12),양평동6가 (13),청운동 (16),청운동 (20),양평동6가 (20)
391,문배동 (2),예관동 (4),남대문로3가 (5),만리동1가 (6),장사동 (7),장교동 (8),현저동 (10),용산동3가 (11),남산동1가 (13),교북동 (16),양평동6가 (20),청운동 (20)
392,수하동 (2),회현동2가 (4),누하동 (5),수하동 (5),묵정동 (7),묵정동 (8),예장동 (10),만리동1가 (11),충정로1가 (12),삼선동3가 (15),묵정동 (19),권농동 (19)
393,충무로5가 (2),경운동 (4),수표동 (5),충정로1가 (5),누하동 (7),경운동 (8),가회동 (9),묵정동 (11),용산동3가 (12),용산동3가 (15),장교동 (19),묵정동 (19)
394,개화동 (2),을지로3가 (4),경운동 (5),익선동 (5),예장동 (7),산림동 (8),산림동 (9),동소문동3가 (11),동소문동3가 (11),옥천동 (14),권농동 (19),장교동 (19)
395,동빙고동 (2),염곡동 (4),청운동 (5),용산동3가 (5),천왕동 (7),청운동 (8),용산동3가 (9),충정로1가 (10),묵정동 (11),공평동 (14),교북동 (18),보문동6가 (19)
396,수표동 (2),삼선동3가 (4),삼선동3가 (5),예관동 (5),동소문동7가 (7),장사동 (7),동작동 (9),현저동 (10),만리동1가 (11),만리동1가 (13),동작동 (18),동소문동3가 (19)
397,청운동 (2),명륜1가 (4),현저동 (5),산천동 (5),가회동 (6),가회동 (7),만리동1가 (8),산림동 (10),산림동 (10),산림동 (13),당인동 (16),교북동 (18)
398,입정동 (2),운니동 (4),원서동 (5),남대문로2가 (5),안암동4가 (6),안암동2가 (7),안암동2가 (8),예장동 (9),산천동 (10),충정로1가 (13),충정로1가 (16),양화동 (18)
399,화동 (2),화동 (4),산천동 (4),동작동 (5),홍파동 (6),운니동 (7),만리동2가 (8),산천동 (9),예장동 (10),안암동2가 (12),동소문동3가 (16),동작동 (18)
400,원남동 (2),누하동 (3),남산동1가 (4),원서동 (5),예관동 (6),창성동 (7),항동 (8),경운동 (9),당인동 (10),동소문동3가 (12),보문동6가 (15),안암동2가 (17)
401,토정동 (2),원효로4가 (3),보문동6가 (4),경운동 (5),입정동 (6),현저동 (7),충정로1가 (8),만리동2가 (9),안암동2가 (10),당인동 (12),산림동 (15),당인동 (17)
402,서린동 (2),용산동3가 (3),묵정동 (4),항동 (5),산림동 (6),남산동3가 (6),경운동 (8),예관동 (8),현저동 (10),산천동 (11),입정동 (14),충정로1가 (16)
403,권농동 (2),양화동 (3),안암동2가 (4),보문동6가 (5),만리동1가 (6),옥인동 (6),예관동 (7),입정동 (8),창성동 (9),회현동3가 (11),장사동 (14),산림동 (15)
404,남대문로3가 (2),익선동 (3),회현동2가 (4),현저동 (5),창성동 (6),만리동1가 (6),입정동 (7),안암동2가 (8),남산동3가 (9),토정동 (11),양화동 (14),옥천동 (15)
405,원서동 (2),가회동 (3),안암동3가 (4),안암동4가 (5),개화동 (6),충정로1가 (6),상왕십리동 (7),당인동 (8),예관동 (9),예관동 (11),안암동2가 (14),현석동 (15)
406,청파동1가 (2),평동 (3),염곡동 (4),운니동 (5),충정로1가 (6),예장동 (6),남산동3가 (7),장사동 (8),회현동3가 (9),입정동 (11),현석동 (14),입정동 (14)
407,익선동 (1),수하동 (3),용산동3가 (4),산림동 (4),경운동 (6),토정동 (6),장사동 (7),창성동 (8),입정동 (9),보문동6가 (11),만리동2가 (14),안암동3가 (14)
408,회현동3가 (1),장사동 (3),예관동 (3),안암동3가 (4),현저동 (5),입정동 (6),창성동 (7),남산동3가 (7),장사동 (8),남산동3가 (11),옥천동 (14),만리동2가 (14)
409,충정로1가 (1),산림동 (3),평동 (3),토정동 (4),토정동 (5),보문동6가 (6),토정동 (6),항동 (7),안암동4가 (8),장사동 (10),회현동3가 (13),장사동 (14)
410,효창동 (1),창성동 (2),창성동 (3),창성동 (4),운니동 (5),예관동 (5),안암동3가 (5),염곡동 (7),안암동3가 (8),권농동 (9),염곡동 (13),개화동 (13)
411,남산동3가 (1),옥인동 (2),산림동 (3),안암동2가 (4),산천동 (5),산천동 (5),보문동6가 (5),안암동3가 (6),토정동 (8),안암동4가 (9),산천동 (13),회현동3가 (13)
412,예장동 (1),남산동3가 (2),권농동 (3),천왕동 (3),회현동3가 (5),홍파동 (5),양화동 (5),보문동6가 (6),보문동6가 (7),현석동 (9),개화동 (13),항동 (13)
413,견지동 (1),회현동3가 (2),보문동3가 (3),입정동 (3),안암동3가 (4),안암동4가 (5),당인동 (5),안암동4가 (6),현석동 (6),현저동 (9),예관동 (12),염곡동 (13)
414,원효로4가 (1),권농동 (2),토정동 (3),남산동3가 (3),보문동6가 (4),개화동 (4),홍파동 (4),토정동 (6),권농동 (6),개화동 (9),안암동3가 (12),안암동4가 (13)
415,누하동 (1),보문동3가 (2),안암동4가 (3),옥인동 (3),남산동3가 (4),당인동 (4),권농동 (4),양화동 (6),개화동 (5),안암동3가 (8),남산동3가 (12),산천동 (13)
416,홍파동 (1),산천동 (2),중학동 (2),회현동3가 (2),옥인동 (3),양화동 (3),회현동3가 (4),권농동 (5),만리동2가 (5),항동 (8),토정동 (11),남산동3가 (12)
417,중학동 (1),입정동 (2),옥인동 (2),권농동 (2),권농동 (2),회현동3가 (3),염곡동 (4),현석동 (5),염곡동 (5),만리동2가 (6),안암동4가 (11),예관동 (12)
418,창성동 (1),토정동 (2),입정동 (2),염곡동 (2),당인동 (2),권농동 (3),안암동4가 (4),홍파동 (4),양화동 (5),염곡동 (6),항동 (10),토정동 (11)
419,당인동 (1),원서동 (2),남산동3가 (2),중학동 (2),염곡동 (2),동작동 (3),현석동 (3),회현동3가 (4),홍파동 (4),양화동 (5),현저동 (9),현저동 (9)
420,경운동 (1),개화동 (2),당인동 (1),양화동 (2),양화동 (2),안암동3가 (3),산천동 (3),개화동 (3),항동 (4),홍파동 (4),홍파동 (7),홍파동 (7)
421,평동 (1),중학동 (1),양화동 (1),당인동 (1),동작동 (2),염곡동 (3),개화동 (2),과해동 (3),과해동 (3),과해동 (3),과해동 (3),과해동 (3)
422,봉원동 (1),당인동 (1),봉원동 (1),보문동3가 (1),선유동 (1),봉원동 (1),선유동 (1),보문동3가 (1),봉원동 (2),보문동3가 (2),보문동3가 (2),보문동3가 (2)
423,명륜1가 (1),봉원동 (1),회현동3가 (1),봉원동 (1),보문동3가 (1),선유동 (1),보문동3가 (1),봉원동 (1),보문동3가 (1),봉원동 (2),봉원동 (2),봉원동 (2)
424,선유동 (1),선유동 (1),선유동 (1),선유동 (1),봉원동 (1),보문동3가 (1),봉원동 (1),선유동 (1),선유동 (1),선유동 (1),선유동 (1),선유동 (1)
